word;etymology;related
arterioskleroz;orig	Fransızca ,artériosclérose	Eski Yunanca,artēría	Eski Yunanca,sklērósis	;
kavur|mak;orig	Eski Türkçe,kaġur-	;
top;orig	İngilizce ,top	Germence,*toppaz	;
tuğgeneral;orig	Yeni Türkçe,tugay	Türkiye Türkçesi,general	;
şer;orig	Arapça,şrr	Arapça,şarra	;
ilahiyat;orig	Arapça,ilāhī	;
alkali;orig	Fransızca ve İngilizce ,alkali	Arapça,ḳlw	Arapça,ḳalā	;
şayet;orig	Farsça,şāyad	Farsça,şāyistan, şāy-	;
diss;orig	İngilizce ,diss	İngilizce ,disrespect	;
gıyap;orig	Arapça,ġyb	Arapça,ġāba	;
klor;orig	Fransızca ,chlore	İngilizce ,chlorine	Eski Yunanca,χlōrós	Hintavrupa Anadilinde,*ghlō-ro-	Hintavrupa Anadilinde,*ghel-<sup>2</sup>	;
kat|mak;orig	Eski Türkçe,kat-	Eski Türkçe,ka-	;
zaptiye;orig	Arapça,ḍabṭ	;
torik;orig	Yeni Yunanca,taríχion	Eski Yunanca,tarîχos	;
datif;orig	Almanca ,Dativ	Latince,dativus	Latince,dare	;
vasıf;orig	Arapça,wṣf	Arapça,waṣafa	;
zeber;orig	Farsça,zabar	Farsça,az bar	;
görenek;orig	Türkiye Türkçesi,gör-	;
tel;orig	Ermenice,tel	;
şarm;orig	Fransızca ,charme	Latince,carmen, carmin-	;
keser;orig	Türkiye Türkçesi,kes-	;
tok;"none	<p> ""sert ve pes darbe sesi"" <b>Ses yansımalı sözcüktür.</b> </p>";
gönder|mek;orig	Eski Türkçe,könger-	Eski Türkçe,köni	;
demotik;orig	Fransızca ,démotique	Eski Yunanca,dēmotikós	Eski Yunanca,dêmos	;
hipotez;orig	Fransızca ,hypothèse	Eski Yunanca,ʰypothésis	Eski Yunanca,ʰypó	Eski Yunanca,títhēmi, the-	;
albız;orig	Arapça,iblīs	;
veda;orig	Arapça,wdˁ	Arapça,wadaˁa	;
dide;orig	Farsça,dīda	Farsça,dīdan, bīn-	Orta Farsça,dītan, vēn-	Eski Farsça ,didiy	Avesta (Zend) dilinde,dāi-, didaiti	Hintavrupa Anadilinde,*dhyā-	Hintavrupa Anadilinde,*dheiə-	;
kuron;orig	Fransızca ,couronne	Latince,corona	Eski Yunanca,korōnís	Hintavrupa Anadilinde,*kor-ōno-	Hintavrupa Anadilinde,*(s)ker-<sup>3</sup>	;
kiram;orig	Arapça,krm	Arapça,karīm	;
tezene;orig	Farsça,tāziyāna	Farsça,taχtan, tāz-	;
