language family;word;etymology
Proto-Turkic:;*ījn;"[(u'Old Turkic:', [<i>in</i>, u' (OUygh.)']), (u'Karakhanid:', [<i>in,</i>, u' jin (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u')']), (u'Turkmen:', u'h\u012bn'), (u'Halaj:', u'h\u012b\u0323n'), (u'Chuvash:', u'j\u01ddn\u01dd'), (u'Yakut:', u'\u012bn'), (u'Dolgan:', u'\u012bn'), (u'Kirghiz:', u'ijin')]"
Proto-Turkic:;*īl-;"[(u'Old Turkic:', [<i>il-</i>, u' (OUygh.) 1, ilin- (refl.) (OUygh.) 1']), (u'Karakhanid:', [<i>il-</i>, u' (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u') 1, \u0268l\u0268n- (refl.) (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u') 1']), (u'Turkish:', [u'dial. ', <i>il-</i>, u' 1, ilmek 2']), (u'Tatar:', [<i>el-</i>, u' 1']), (u'Middle Turkic:', [u'\u0268l- (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=183"" target=""_blank"">Abush.</a>, u', ', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=174"" target=""_blank"">Sangl.</a>, u'), \u0268l\u0268n- (refl.) (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=218"" target=""_blank"">Pav. C.</a>, u') 1']), (u'Uzbek:', [<i>il-</i>, u' 1, ilm\u0254q 2']), (u'Uighur:', [<i>il-</i>, u"" 1, ilmaq 2, 'loop'""]), (u'Azerbaidzhan:', u'ilm\xe4k 2'), (u'Turkmen:', u'\u012bl- 1'), (u'Khakassian:', u'\u01ddl-'), (u'Oyrat:', [<i>il-</i>, u' 1, ilmek 2']), (u'Chuvash:', u""j\u044al\u044a, j\u044almak 'loop'""), (u'Yakut:', u'\u012bl- 1'), (u'Tuva:', [<i>il-</i>, u' 1']), (u'Tofalar:', [<i>il-</i>, u' 1']), (u'Kirghiz:', [<i>il-</i>, u' 1, ilmek 2']), (u'Kazakh:', [<i>il-</i>, u' 1']), (u'Noghai:', [<i>il-</i>, u' 1']), (u'Bashkir:', [<i>el-</i>, u' 1']), (u'Balkar:', u'ilin- (refl.) 1'), (u'Karakalpak:', [<i>il-</i>, u' 1, ilmek 2']), (u'Kumyk:', [<i>il-</i>, u' 1'])]"
Proto-Turkic:;*īĺč;"[(u'Old Turkic:', [<i>i\u0161</i>, u' (Orkh., OUygh.)']), (u'Karakhanid:', [u'\u0268\u0161 (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u')']), (u'Turkish:', u'i\u0161'), (u'Tatar:', u'i\u0306\u0161'), (u'Middle Turkic:', [<i>i\u0161</i>, u' (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=218"" target=""_blank"">Pav. C.</a>, u')']), (u'Uzbek:', u'i\u0161'), (u'Uighur:', u'i\u0161'), (u'Sary-Yughur:', [<i>is,</i>, u' \u0268s']), (u'Azerbaidzhan:', u'i\u0161'), (u'Turkmen:', u'\u012b\u0161'), (u'Oyrat:', u'i\u0161'), (u'Halaj:', u'\u012b\u0323\u0161'), (u'Chuvash:', u'\u01dds\u0301'), (u'Yakut:', u'\u012bs'), (u'Tuva:', u'i\u0161'), (u'Kirghiz:', u'i\u0161'), (u'Kazakh:', u'i\u0306s'), (u'Noghai:', u'is'), (u'Bashkir:', u'i\u0306\u0161'), (u'Balkar:', u'i\u0161'), (u'Gagauz:', u'i\u0161'), (u'Karaim:', u'i\u0161'), (u'Karakalpak:', u'is'), (u'Kumyk:', u'i\u0161')]"
Proto-Turkic:;*īr-;"[(u'Karakhanid:', [u'ir-, iril- (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u')']), (u'Turkmen:', u'\u012br-'), (u'Khakassian:', u""ir\u01ddk- 'to languish, be bored'""), (u'Chuvash:', u'j\u01ddr\u01ddn-'), (u'Yakut:', u""\u012br- 'to rave, become crazy'"")]"
Proto-Turkic:;*īŕ / *ɨ̄ŕ;"[(u'Old Turkic:', [<i>iz</i>, u' 1 (OUygh.)']), (u'Karakhanid:', [<i>iz</i>, u' 1 (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u')']), (u'Turkish:', [<i>iz</i>, u' 1']), (u'Tatar:', u'i\u0306z 1, \u0268zan 2'), (u'Middle Turkic:', [<i>iz</i>, u' 1 (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=214"" target=""_blank"">\u0411\u043e\u0440. \u0411\u0430\u0434.</a>, u', ', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=218"" target=""_blank"">Pav. C.</a>, u')']), (u'Uzbek:', [<i>iz</i>, u' 1']), (u'Uighur:', [<i>iz</i>, u' 1']), (u'Sary-Yughur:', [<i>is</i>, u' 1']), (u'Azerbaidzhan:', [<i>iz</i>, u' 1']), (u'Turkmen:', u'\u0268\u0304z 1'), (u'Khakassian:', u'i\u0306s 1'), (u'Oyrat:', [<i>is</i>, u' 1']), (u'Chuvash:', u'j\u01ddr 1, j\u044aran 2'), (u'Tuva:', [<i>is</i>, u' 1']), (u'Kirghiz:', [<i>iz</i>, u' 1']), (u'Kazakh:', u'i\u0306z 1'), (u'Noghai:', u'\u0268z 1, \u0268zan 2'), (u'Bashkir:', u'i\u0306\u03b4 1, \u0268\u03b4an 2'), (u'Balkar:', u'\u0268z 1'), (u'Gagauz:', u'jiz 1'), (u'Karaim:', [<i>iz,</i>, u' \u0268z 1']), (u'Karakalpak:', [<i>iz</i>, u' 1']), (u'Kumyk:', u'h\u0268zan 2')]"
Proto-Turkic:;*ɨč-, *ɨč-gɨn-;"[(u'Old Turkic:', u'\u0268\u010d\u0263\u0268n- (Orkh., OUygh.)'), (u'Karakhanid:', [u'\u0268\u010d\u0263\u0268n- (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u'), \u0268\u010d- (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">KB</a>, u')']), (u'Tatar:', u'\u0268\u010dq\u0268n-'), (u'Middle Turkic:', [u'\u0268\u010dq\u0268n- (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=183"" target=""_blank"">Abush.</a>, u', ', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=218"" target=""_blank"">Pav. C.</a>, u')']), (u'Khakassian:', u'\u0268sx\u0268n-'), (u'Shor:', u'\u0268\u0161q\u0268n-'), (u'Oyrat:', u'\u0268\u010dq\u0268n-, \u0268q\u010d\u0268n-'), (u'Yakut:', u'\u0268h\u0268g\u0268n-'), (u'Tuva:', u'\u0268\u0161q\u0268n-'), (u'Kirghiz:', u'\u0268\u010dq\u0268n-'), (u'Noghai:', u'\u0268\u0161q\u0268n-'), (u'Bashkir:', u'\u0268sq\u0268n-'), (u'Balkar:', u'\u0268\u010dx\u0268n-'), (u'Kumyk:', u'i\u0161\u0263\u0268n-')]"
Proto-Turkic:;*ɨduk;"[(u'Old Turkic:', u'\u0268duq (Orkh., OUygh.)'), (u'Karakhanid:', [u'\u0268\u03b4uq (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u')']), (u'Khakassian:', u'\u0268z\u0268x'), (u'Oyrat:', u'\u0268j\u0268q, ijik'), (u'Chuvash:', u'j\u01ddr\u01ddx'), (u'Yakut:', u'\u0268t\u0268q'), (u'Tuva:', u'\u0268d\u0268q'), (u'Kirghiz:', u'\u0268j\u0268q'), (u'Balkar:', u'\u0268j\u0268q')]"
Proto-Turkic:;*ɨjŋa-la-;"[(u'Karakhanid:', u""a\u014b\u0268la- 'to cry, howl (of a donkey)' (\u041c\u041a) (?)""), (u'Turkish:', u'inle-, dial. i\u014bile-'), (u'Tatar:', u'e\u014bgelde-'), (u'Middle Turkic:', [u'OKypch. i\u014ble- (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=163"" target=""_blank"">Ettuhf.</a>, u')']), (u'Uzbek:', u'ingala-'), (u'Azerbaidzhan:', u'inl\xe4-'), (u'Turkmen:', u'i\u014ble-'), (u'Khakassian:', u'\u0268l\u0263a-'), (u'Shor:', u'\u0268l\u0263a-'), (u'Oyrat:', u'\u0268jla-'), (u'Halaj:', u'\u012b\u0323l\xe4n-'), (u'Yakut:', u'\u0268j\u0303\u0268la-'), (u'Tuva:', u'\u0268j\u0268la-, \u0268\u0268la-'), (u'Kirghiz:', u'\u0268jla-'), (u'Kazakh:', u'\u0268nq\u0268l-da-'), (u'Bashkir:', u'\u0268jla-'), (u'Gagauz:', u'inne-'), (u'Karaim:', u'inle-'), (u'Karakalpak:', u'\u0268\u014b\u0268l-da-')]"
Proto-Turkic:;*ɨjs;[(u'Turkish:', [<i>is</i>, u' 2']), (u'Tatar:', [<i>is</i>, u' 3']), (u'Uighur:', [<i>is</i>, u' 1']), (u'Azerbaidzhan:', [<i>his</i>, u' 2']), (u'Turkmen:', u'\u0268\u0304s 3'), (u'Chuvash:', u'j\u044as 3'), (u'Yakut:', u'\u0268\u0304s 1, 2'), (u'Dolgan:', u'\u0268\u0304s 1, 2'), (u'Kirghiz:', [<i>is</i>, u' 4']), (u'Noghai:', u'ijis 3'), (u'Karakalpak:', u'ijis 3')]
Proto-Turkic:;*ɨ, *ɨ-(ń)gač;"[(u'Old Turkic:', u'\u0268\u0263a\u010d (Orkh., OUygh.) 1'), (u'Karakhanid:', [u'j\u0268\u0263a\u010d (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u') 1']), (u'Turkish:', u'a\u0263a\u010d 1'), (u'Tatar:', u'a\u0263a\u010d 1'), (u'Middle Turkic:', [u'a\u0263a\u01ef (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=218"" target=""_blank"">Pav. C.</a>, u') 1']), (u'Uzbek:', u'j\u0254\u0263\u0254\u010d 1'), (u'Uighur:', u'ja\u0263a\u010d 1'), (u'Sary-Yughur:', u'ji\u0263a\u0161 1'), (u'Azerbaidzhan:', u'a\u0263a\u010d 1'), (u'Turkmen:', u'aGa\u010d 1'), (u'Khakassian:', u'a\u0263as 1, 2'), (u'Shor:', u'a\u0263a\u0161 1, 2'), (u'Oyrat:', u'a\u0263a\u0161 1, 2'), (u'Halaj:', u'ha\u0263a\u010d 1'), (u'Chuvash:', u'j\u0268v\u044as\u0301 1'), (u'Yakut:', [<i>mas</i>, u' 1']), (u'Dolgan:', [<i>mas</i>, u' 1']), (u'Tuva:', u'\u0268\u0303ja\u0161 1, 2'), (u'Tofalar:', u'n\u0301\u025b\u0161 1'), (u'Kirghiz:', u'\u01ef\u0268\u0263a\u010d 1'), (u'Kazakh:', u'a\u0263a\u0161 1, 2'), (u'Noghai:', u'a\u0263as 1, 2'), (u'Bashkir:', u'a\u0263as 1'), (u'Balkar:', u'a\u0263a\u010d 1, 2'), (u'Gagauz:', u'\u0101\u010d 1'), (u'Karaim:', u'a\u0263a\u010d, -c 1'), (u'Karakalpak:', u'a\u0263a\u0161 1'), (u'Salar:', [u'a\u0263a\u010d, -\u0161 1 (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=231"" target=""_blank"">\u0421\u0421\u042f</a>, u')']), (u'Kumyk:', u'a\u0263a\u010d 1, 2')]"
