word;etymology;related
acun;orig	Eski Türkçe,ajun	Soğdca,ˀjwn (ajūn)	Soğdca,jw-	Hintavrupa Anadilinde,*gʷeiə-	;
kuluçka;orig	Sırpça ,kloçka	Bulgarca,kvaçka	;
minare;orig	Arapça,nwr	Arapça,nāra	;
yatırım;orig	Türkiye Türkçesi,yatır-	;
limonçello;orig	İtalyanca,limoncello	İtalyanca,limone	;
haseki;orig	Farsça,χāṣṣagī	Arapça,χāṣṣ	;
çerçeve;orig	Farsça,çārçūba	Farsça,çār	Farsça,çūba	Orta Farsça,çobak	;
yüksük;orig	Eski Türkçe,yügsük	Eski Türkçe,yig 	;
teşvik;orig	Arapça,şwḳ	Arapça,şāḳa	;
vücut;orig	Arapça,wcd	Arapça,wacada	;
kulun;orig	Eski Türkçe,kulun	;
görümce;orig	Eski Türkçe,körümçi	Eski Türkçe,körüm	Eski Türkçe,kör-	;
dekuple;orig	Fransızca ,découpler	Fransızca ,coupler	;
içeri;orig	Eski Türkçe,içgerü	Eski Türkçe,iç	;
fetiş;orig	Fransızca ,fétiche	Portekizce ,feitiço	Geç Latince,facticius	Latince,facere, fact-	;
dağıt|mak;orig	Eski Türkçe,tarıt-	Eski Türkçe,tar-	;
dansite;orig	Fransızca ,densité	Latince,densitas	Latince,densus	Hintavrupa Anadilinde,*dens-<sup>2</sup>	;
davlumbaz;orig	Farsça,tabl-bāz	Farsça ve Türkçe,tabl 	;
mikroskop;orig	Fransızca ,microscope	Yeni Latince,microscopium	;
salahiyet;orig	Arapça,ṣlḥ	;
proof;orig	İngilizce ,proof	Geç Latince,proba	Latince,probare	;
gürgen;none	<p> Bu sözcüğün kökeni belirsizdir. </p>;
konjenital;orig	Fransızca ,congénital	Geç Latince,congenitus	Latince,genere	;
şandel;orig	Fransızca ,chandelle	Geç Latince,candella	Latince,candere	;
aforoz;orig	Orta Yunanca,aforismós	Eski Yunanca,aphorízō	Eski Yunanca,ʰóros	;
iktiran;orig	Arapça,ḳrn	Arapça,ḳarana	;
rünik;orig	Fransızca ,runique	Fransızca ,rune	Norsça (Vikingce),rune	Gotça,rūna	;
kafeterya;orig	İngilizce ,cafeteria	İspanyolca ,cafeteria	İspanyolca ,café	Türkiye Türkçesi,kahve	;
büğrü;orig	Eski Türkçe,bükri	Eski Türkçe,*bük-	;
yöre;orig	Oğuzca,yöre	Eski Türkçe,yörüg	Eski Türkçe,yör-	;
arif;orig	Arapça,ˁrf	Arapça,ˁarafa	;
shingle;orig	İngilizce ,shingle	Latince,scindula	;
yuvalama;orig	Türkiye Türkçesi,yuvala-	;
kuple;orig	Fransızca ,couplet	Fransızca ,couple	Latince,copula	Latince,*co-apula	Latince,apiō, apt-	;
rahip;orig	Arapça,rhb	Arapça,rahiba	;
rüşvet;orig	Arapça,rşw	Arapça,raşā	;
arterioskleroz;orig	Fransızca ,artériosclérose	Eski Yunanca,artēría	Eski Yunanca,sklērósis	;
kavur|mak;orig	Eski Türkçe,kaġur-	;
top;orig	İngilizce ,top	Germence,*toppaz	;
pot;orig	Ermenice,pot	;
tuğgeneral;orig	Yeni Türkçe,tugay	Türkiye Türkçesi,general	;
lobut;orig	Arapça,nbṭ	Arapça,nabata	;
şer;orig	Arapça,şrr	Arapça,şarra	;
ilahiyat;orig	Arapça,ilāhī	;
alkali;orig	Fransızca ve İngilizce ,alkali	Arapça,ḳlw	Arapça,ḳalā	;
mazurka;orig	Fransızca ,mazurka	Lehçe,mazurka	;
şayet;orig	Farsça,şāyad	Farsça,şāyistan, şāy-	;
diss;orig	İngilizce ,diss	İngilizce ,disrespect	;
gıyap;orig	Arapça,ġyb	Arapça,ġāba	;
klor;orig	Fransızca ,chlore	İngilizce ,chlorine	Eski Yunanca,χlōrós	Hintavrupa Anadilinde,*ghlō-ro-	Hintavrupa Anadilinde,*ghel-<sup>2</sup>	;
sahip;orig	Arapça,ṣḥb	Arapça,ṣaḥiba	;
müstakil;orig	Arapça,ḳll	Arapça,ḳalla	;
kat|mak;orig	Eski Türkçe,kat-	Eski Türkçe,ka-	;
nikris;orig	Arapça,nḳrs	Aramice/Süryanice,ḳrs	Aramice/Süryanice,ḳāras	;
zaptiye;orig	Arapça,ḍabṭ	;
torik;orig	Yeni Yunanca,taríχion	Eski Yunanca,tarîχos	;
datif;orig	Almanca ,Dativ	Latince,dativus	Latince,dare	;
oklüzyon;orig	Fransızca ,occlusion	Latince,occlusio	Latince,occludere	Latince,claudere, claus-	;
vasıf;orig	Arapça,wṣf	Arapça,waṣafa	;
sabık;orig	Arapça,sbḳ	Arapça,sabaḳa	;
sanat;orig	Arapça,ṣnˁ	Arapça,ṣanāˁa(t)	Arapça,ṣanaˁa	;
zeber;orig	Farsça,zabar	Farsça,az bar	;
görenek;orig	Türkiye Türkçesi,gör-	;
tel;orig	Ermenice,tel	;
şarm;orig	Fransızca ,charme	Latince,carmen, carmin-	;
menfi;orig	Arapça,nfw	Arapça,nafā	;
keser;orig	Türkiye Türkçesi,kes-	;
nal;orig	Arapça,nˁl	İbranice ve Aramice/Süryanice,nˁl	İbranice ,nāˁal	;
mentor;orig	İngilizce ,mentor	Eski Yunanca,Méntōr	özel adından,*men-tōr	Hintavrupa Anadilinde,*men-<sup>1</sup>	;
tok;"none	<p> ""sert ve pes darbe sesi"" <b>Ses yansımalı sözcüktür.</b> </p>";
gönder|mek;orig	Eski Türkçe,könger-	Eski Türkçe,köni	;
simülasyon;orig	Fransızca ve İngilizce ,simulation	Latince,simulatio	Latince,simulare	Latince,simul	Hintavrupa Anadilinde,*sem-<sup>1</sup>	;
patik;orig	Yeni Yunanca,patíki	Yeni Yunanca ve Eski Yunanca,pátéō	;
demotik;orig	Fransızca ,démotique	Eski Yunanca,dēmotikós	Eski Yunanca,dêmos	;
mahcuz;orig	Arapça,ḥcz	Arapça,hacaza	;
pişman;orig	Farsça,paşmān	Orta Farsça,paşēmān	Avesta (Zend) dilinde,prati-māna	Avesta (Zend) dilinde,pratiş	Avesta (Zend) dilinde,manah	;
