word;etymology;related
global;orig	Fransızca ,global	Fransızca ,globe	;
termometre;orig	Fransızca ,thérmomètre	;
saç|mak;orig	Eski Türkçe,saç-	;
miğfer;orig	Arapça,ġfr	Arapça,ġafara	;
efal;orig	Arapça,fˁl	Arapça,fiˁl	;
sarkastik;orig	Fransızca ,sarcastique	Latince,sarcasticus	Eski Yunanca,sarkastikós	Eski Yunanca,sarkázō	Eski Yunanca,sárks	;
lapin;orig	Yeni Yunanca,lábena	Yeni Yunanca,lábo	;
faks;orig	İngilizce ,fax	İngilizce ,facsimile	Latince,fac	Latince,facere, fact-	Latince,similis	;
sele;orig	Fransızca ,selle	Latince,sella	Latince,*sed-la	Latince,sedere, sess-	;
yalıt|mak;orig	Türkiye Türkçesi,yalın-	;
miyom;orig	Fransızca ,myome	;
soket;orig	İngilizce ,socket	İngilizce ,sock	Latince,soccus	Eski Yunanca,sýχos	;
çat;orig	Türkiye Türkçesi,çat-	;
rattan;orig	İngilizce ,rattan	Malayca ,rōtan	;
he;"none	<p> ""olumlama ünlemi"" <b>ünlemdir.</b> </p>";
hesap;orig	Arapça,ḥsb	Arapça,ḥasaba	Aramice/Süryanice,ḥāşəb	;
ihkak;orig	Arapça,ḥḳḳ	Arapça,ḥaḳḳa	;
genleş|mek;orig	Türkiye Türkçesi,geŋ	;
iklim;orig	Arapça,ḳlm	Eski Yunanca,klíma	Eski Yunanca,klínō	Hintavrupa Anadilinde,*kli-n-yo-	Hintavrupa Anadilinde,*klei-	;
neglije;orig	Fransızca ,négligé	Fransızca ,negliger	Latince,negligere	Latince,nec	Latince,legere	;
istismar;orig	Arapça,s̠mr	Arapça,ṯamara	;
daktilo;orig	Fransızca ,dactylo	Fransızca ,dactylographe	Eski Yunanca,dáktylos	Eski Yunanca,graphḗ	;
eskort;orig	Fransızca ,escorte	İngilizce ,escort	İtalyanca,scorta	İtalyanca,scorgere	Geç Latince,*excorrigere	Latince,corrigere, correct-	;
bülbül;orig	Arapça,blbl	Arapça,balbala	;
roket;"orig	Fransızca ,roquette	İngilizce &lt;/b&gt; <i>rocket</i> ""havai fişek, füze"" sözcüğünden alıntıdır. Bu sözcük <b>İtalyanca,rocchetto	İtalyanca,rocca	";
evrim;orig	Türkiye Türkçesi,evir-	;
infirat;orig	Arapça,frd	Arapça,farada	;
metropolit;orig	Yeni Yunanca,mētropolítēs	Eski Yunanca,mētrópolis	;
topuk;orig	Eski Türkçe,topık	Eski Türkçe,top	;
kâşif;orig	Arapça,kşf	Arapça,kaşafa	;
suna;orig	Orta Türkçe,suna	;
tekila;orig	İspanyolca ,tequila	;
müterakim;orig	Arapça,rkm	Arapça,rakama	;
subaşı;orig	Eski Türkçe,sü	Eski Türkçe,baş	;
keko;orig	Kürtçe (Kurmanci),keko	Kürtçe (Kurmanci),kek	Farsça,kākā	;
toksik;orig	Fransızca ,toxique	İngilizce ,toxic	Latince,toxicum	Eski Yunanca,toksikón	Eski Yunanca,tóksa	;
püriten;orig	Fransızca ,puritain	İngilizce ,puritan	Geç Latince,puritas	Latince,purus	;
kamineto;orig	İtalyanca,caminetto	İtalyanca,camino	Latince,caminus	;
nostalji;orig	Fransızca ,nostalgie	Eski Yunanca,nóstos	Hintavrupa Anadilinde,*nos-to-	Hintavrupa Anadilinde,*nes-<sup>1</sup>	Eski Yunanca,álgos	;
palladyen;orig	Fransızca ,palladien	İngilizce ,palladian	;
avdet;orig	Arapça,ˁwd	Arapça,ˁāda	;
tecezzi;orig	Arapça,czA	Arapça,cazaˀa	;
kano;orig	Fransızca ,canot	İspanyolca ,canoa	;
koruk;orig	Farsça,ġūra	;
mulaj;orig	Fransızca ,moulage	Fransızca ,moule	Latince,modulus	;
yaklaş|mak;orig	Eski Türkçe,yāk 	;
agitprop;orig	Rusça ,agitprop	Rusça ,agitátsia	Rusça ,propagánda	;
tırs|mak;orig	Kürtçe (Kurmanci),tirsîn	Eski Farsça ,trsa-	Avesta (Zend) dilinde,tərəsa-	Hintavrupa Anadilinde,*tres-	;
sarin;orig	İngilizce ,sarin	Almanca ,Sarin	;
müren;orig	Fransızca ,murène	Latince,muraena	Eski Yunanca,múraina 	;
çırak;orig	Farsça,çirāḳ 	;
zurna;orig	Farsça,sūrnāy 	Farsça,sūr	Farsça,nāy	;
kıyamet;orig	Arapça,ḳwm	Arapça,ḳāma	;
obskürantizm;orig	Fransızca ,obscurantisme	Fransızca ,obscurant	Fransızca ,obscure	Latince,obscurus	Hintavrupa Anadilinde,*skū-ro-	Hintavrupa Anadilinde,*(s)keu-	;
hicran;orig	Arapça,hcr	Arapça,hacara	;
tehlike;orig	Arapça,hlk	Arapça,halaka	;
musakka;orig	Arapça,sḳy	Arapça,saḳā	;
mürebbi;orig	Arapça,rbw	Arapça,rabā	;
ova;orig	Farsça,āwā 	Farsça,ābād	;
lobi;orig	İngilizce ,lobby	Geç Latince,lobium 	Germence,*laubja	;
paymal;orig	Farsça,pāymāl	Farsça,pāy	Farsça,māl	;
kahpe;orig	Arapça,ḳḥb	Arapça,ḳaḥaba	;
teşekkür;orig	Arapça,şkr	Arapça,şakara	;
şura;orig	Arapça,şwr	Arapça,şāwara	;
şuh;orig	Farsça,şūχ	;
yırtıcı;orig	Türkiye Türkçesi,yırt-	;
şampuan;orig	Fransızca ,shampooing	İngilizce ,shampooing	Modern Hintçe,śāpo	;
platonik;"orig	Fransızca ,platonique	özel adından <a class=""presufgram"" href=""?s=structures&amp;ttype=for&amp;ww=%2Bic%C2%B0"">+ic°</a> ekiyle türetilmiştir. Bu sözcük <b>Eski Yunanca,platōn	";
ortopedi;orig	Fransızca ,orthopédie	Eski Yunanca,orthós	Eski Yunanca,paideía	;
melce;orig	Arapça,lcA	Arapça,lacaˀa	;
cılız;orig	Ermenice,cıladz	;
tüzük;orig	Eski Türkçe,tüz-	;
acz;orig	Arapça,ˁcz	Arapça,ˁaciza	;
bünyan;orig	Arapça,bny	Arapça,banā	;
zalim;orig	Arapça,ẓlm	Arapça,ẓalama	;
bağırsak;orig	Eski Türkçe,baġırsuk	Eski Türkçe,baġır	;
paleontoloji;orig	Fransızca ,paléontologie	;
kaporta;orig	İtalyanca,boccaporto	İtalyanca,bocca	Latince,bucca	Latince,porta	;
fileminyon;orig	Fransızca ,filet mignon	Fransızca ,filet	Fransızca ,mignon	;
tercüman;orig	Arapça,trcm	Aramice/Süryanice,targəmānā	Akatça,targumannu	Akatça,ragāmu	;
anamnez;orig	Fransızca ,anamnèse	Eski Yunanca,anámnēsis	Eski Yunanca,mnēsis	;
inhisar;orig	Arapça,ḥṣr	Arapça,ḥaṣara	;
çırçır;orig	Yeni Yunanca,tzutzuria	;
zombi;orig	Fransızca ve İngilizce ,zombie	Haiti Kriyolünde,zonbi	Angola dillerinden Kimbundu dilinde,nzumbe	;
sinyal;orig	Fransızca ,signal	Geç Latince,signale	Latince,signum	Hintavrupa Anadilinde,*sekʷ-no-	Hintavrupa Anadilinde,*sekʷ-<sup>1</sup>	;
meşhur;orig	Arapça,şhr	Arapça,şahara	;
hararet;orig	Arapça,ḥrr	Arapça,ḥarra	;
yazım;orig	Türkiye Türkçesi,yaz-	;
devşir|mek;orig	Türkiye Türkçesi,derşür- 	Eski Türkçe,der- 	;
lebbeyk;orig	Arapça,lby	Arapça,labbā	;
müdahene;orig	Arapça,dhn	Arapça,dahana	;
izlenim;orig	Türkiye Türkçesi,izlen-	;
siber;orig	İngilizce ,cyber	İngilizce ,cybernetic	;
bezek;orig	Eski Türkçe,bezek	Eski Türkçe,beze-	;
empas;orig	Fransızca ,impasse	Fransızca ,passe	;
kapüşon;orig	Fransızca ,capuchon	İtalyanca,cappuccio	Geç Latince,cappa	;
mayi;orig	Arapça,myˁ	Arapça,māˁa	;
odun;orig	Eski Türkçe,otuŋ	Eski Türkçe,*otun-	Eski Türkçe,ōt	;
kalem;orig	Arapça,ḳlm	Aramice/Süryanice,ḳalamos	Eski Yunanca,kálamos	;
terane;orig	Farsça,tarāna	;
dağıl|mak;orig	Eski Türkçe,tarıl-	Eski Türkçe,tar-	;
abart|mak;"none	<p> <i>abarı </i>veya<i> abaru</i> ""hayret ünlemi"" ünleminden <a class=""presufgram"" href=""?s=structures&amp;ttype=for&amp;ww=%2BIt-"">+It-</a> ekiyle türetilmi olabilir; ancak bu kesin değildir. </p>";
varagele;orig	Türkiye Türkçesi,vara gele	;
dilara;orig	Farsça,dil	Farsça,ārā	Farsça,ārāstan	;
on;orig	Eski Türkçe,on	;
üvey;orig	Eski Türkçe,ögey	Eski Türkçe,ög	;
tereke;orig	Arapça,trk	Arapça,taraka	;
kahraman;orig	öz (Fa),ḳahramān	özel adından,kār-framān	;
zaten;orig	Arapça,ḏātan	Arapça,ḏāt	;
tevdi;orig	Arapça,wdˁ	Arapça,wadaˁa	;
nafile;orig	Arapça,nfl	Arapça,nafl	;
versiyon;orig	Fransızca ,version	Latince,versio	Latince,vertere	Hintavrupa Anadilinde,*wert-	Hintavrupa Anadilinde,*wer-<sup>3</sup>	;
termal;orig	Fransızca ,thérmal	Latince,thermalis	Latince,therma	Eski Yunanca,thérmē	;
iğbirar;orig	Arapça,ġbr	Arapça,ġabira	;
iyon;orig	Yeni Latince,ion	Eski Yunanca,iōn	Eski Yunanca,ʰíēmi, i-	Hintavrupa Anadilinde,*ei-	;
oğul;orig	Eski Türkçe,oġul	;
duyarlık;orig	Türkiye Türkçesi,duyar	Türkiye Türkçesi,duy-	;
poz;orig	Fransızca ,pose	Geç Latince,pausa	Eski Yunanca,paúsis	Eski Yunanca,paúō, paus-	Hintavrupa Anadilinde,*paus-	;
teselsül;orig	Arapça,sl	Arapça,silsila(t)	;
kolyoz;orig	Yeni Yunanca ve Eski Yunanca,kolías	Eski Yunanca,koliós	;
sözlük;orig	Türkiye Türkçesi,söz	;
imtina;orig	Arapça,mnˁ	Arapça,manaˁa	;
spiral;orig	Fransızca ,spiral	Geç Latince,spiralis	Eski Yunanca,speîra	Eski Yunanca,*speirō	;
noyan;orig	Moğolca ,noyan	;
lojistik;orig	Fransızca ,logistique	Fransızca ,loger	Fransızca ,loge	;
floş;orig	İngilizce ,flush	;
itiraf;orig	Arapça,ˁrf	Arapça,ˁarafa	;
kap;orig	Eski Türkçe,kāp	Hotan Saka dilinde,kaba	Soğdca,kapçē 	;
nema;orig	Arapça,nmw	Arapça,namā	;
kompulsif;orig	İngilizce ,compulsive	Latince,compellere	Latince,pellere, puls-	;
ayin;orig	Farsça,āyīn	Orta Farsça,ādēn	;
kaşık;orig	Eski Türkçe,kaşuk	Eski Türkçe,kaşı-	;
atak;orig	Türkiye Türkçesi,at-	;
kal|mak;orig	Eski Türkçe,kal-	Eski Türkçe,ka-	;
dubara;orig	Farsça,du bāra	Farsça,du	Farsça,bār	;
nataşa;orig	Rusça ,Nataşa	özel adından,Natalia	Latince,natalis dies	Latince,nasci, nat-	;
sürpriz;orig	Fransızca ,surprise	Fransızca ,surprendre	Fransızca ,prendre, pris-	;
bonfile;orig	Fransızca ,*bon filet	Fransızca ,bon	Latince,bonus	Latince,filet	;
mevut;orig	Arapça,wˁd	Arapça,waˁada	;
gitgide;orig	Türkiye Türkçesi,git-	;
imparator;orig	Latince,imperator	Latince,imperare	Latince,parare	;
gark;orig	Arapça,ġrḳ	Arapça,ġariḳa	;
hüzzam;orig	Arapça,hzm	;
gösterge;orig	Türkiye Türkçesi,göster-	;
kevkeb;orig	Arapça,kkb	Aramice/Süryanice ve İbranice ,kawkāb, kawkbā	;
amorti;orig	Fransızca ,amortir, amortiss-	Geç Latince,*admortire	Latince,mortuus	;
gülşen;orig	Farsça,gulşan	Farsça,gul	Farsça,+şan	;
pagoda;orig	Fransızca ,pagode	Portekizce ,pagode	Tamilce,pagavadi	Sanskritçe,bhágavatī	Sanskritçe,bhága	Hintavrupa Anadilinde,*bhag-	;
etüv;orig	Fransızca ,étuve	Eski Yüksek Almanca,stuba	Geç Latince,*iztuba	;
epilepsi;orig	Fransızca ,epilepsie	Latince,epilepsia	Eski Yunanca,epilepsía	Eski Yunanca,epilambánō	Eski Yunanca,lambánō, lep-	;
akredite;orig	Fransızca ,accrediter	Geç Latince,accreditare	Geç Latince,creditum	;
ruh;orig	Arapça,rwḥ	Aramice/Süryanice,rūḥ	İbranice ,raoḥ	;
sandalet;orig	Fransızca ,sandalette	Fransızca ,sandale	Latince,sandalum	Eski Yunanca,sándalon	;
zen;orig	Farsça,zan	Orta Farsça,zan	Sanskritçe,cáni-	Hintavrupa Anadilinde,*gʷen-	;
sayman;orig	Türkiye Türkçesi,say-	;
dekupaj;orig	Fransızca ,découpage	Fransızca ,découper	Fransızca ,couper	;
bezm;orig	Farsça,bazm	Sanskritçe,bhācana	Hintavrupa Anadilinde,*bhag-mn	;
cibayet;orig	Arapça,cby	Arapça,cabā	;
asker;orig	Arapça,ˁskr	Farsça,laşkar	;
salata;orig	İtalyanca,salata	Geç Latince,herba salata	Latince,salare	;
tanga;orig	İngilizce ,tanga	Portekizce (Brezilya lehçesi),tanga	Angola dillerinden Kimbundu dilinde,ntanga	;
şizofren;orig	Fransızca ,schizophrène	Eski Yunanca,sχízō	Eski Yunanca,phrḗn	;
body;orig	İngilizce ,body	Eski İngilizce ,bodig	;
teshil;orig	Arapça,shl	Arapça,sahala	;
avurt;orig	Türkiye Türkçesi,avurd 	;
murakıp;orig	Arapça,rḳb	Arapça,raḳaba	;
sika;orig	Fransızca ,siccatif	Geç Latince,siccativus	Latince,siccare	Latince,siccus	;
muhbir;orig	Arapça,χbr	Arapça,χabar	;
saydam;orig	Çağatayca,saydam	;
cadaloz;orig	Türkiye Türkçesi,cadı	;
pülverize;orig	Fransızca ,pulveriser	Latince,pulvis, pulver-	;
şaplak;orig	Türkiye Türkçesi,şapla-	;
brüt;orig	Fransızca ,brut	Latince,brutus	Hintavrupa Anadilinde,*gʷru-to-	Hintavrupa Anadilinde,*gʷerə-<sup>2</sup>	;
bulut;orig	Eski Türkçe,bulıt	Eski Türkçe,bu	;
pus;orig	Eski Türkçe,būs	;
piretik;orig	Fransızca ,pyretique	Eski Yunanca,pyretikós	Eski Yunanca,pýr	;
muslin;"orig	Fransızca ,mousseline	İtalyanca,mussolina	öz (İt),Mussolo	özel adından <a class=""presufgram"" href=""?s=structures&amp;ttype=for&amp;ww=%2Bin%C2%B0"">+in°</a> ekiyle türetilmiştir. Bu sözcük <b>öz (Ar),al-Mawṣil	özel adından,wṣl	";
takaddüm;orig	Arapça,ḳdm	Arapça,ḳadama	;
maydanoz;orig	Arapça,maḳdanus 	Orta Yunanca,makedonísion	;
asterisk;orig	İngilizce ,asterisk	Eski Yunanca,asterískos	Eski Yunanca,astēr	;
sifilis;orig	Yeni Latince,syphilis	özel adından,sý-philos	;
kumral;orig	Orta Türkçe (sadece Kıpçak ve Oğuz lehçelerinde),*koŋral	Eski Türkçe,koŋur	;
anilin;orig	Almanca ,Anilin	Almanca ,Anil	Portekizce ,anil	Arapça,an-nīl	Sanskritçe,nīla	;
add;orig	Arapça,ˁdd	Arapça,ˁadda	;
amaç;orig	Eski Türkçe,amac	Farsça,āmāc	;
tosun;orig	Eski Türkçe,tosun	Eski Türkçe,tos-	;
neva;orig	Farsça,navā	Avesta (Zend) dilinde,nivag	Avesta (Zend) dilinde,vak-, vaç-	Hintavrupa Anadilinde,*wekʷ-	;
delirium;orig	Latince,delirium	Latince,delirare	Latince,līra	Hintavrupa Anadilinde,*leis-ā	Hintavrupa Anadilinde,*leis-	;
hamarat;orig	Arapça,ˁimāra(t)	;
nektarin;orig	İngilizce ,nectarine	İngilizce ,nectar	;
çigan;orig	Fransızca ,tsigane	Macarca ,cigány	Yeni Yunanca,tsingána	;
mit;orig	Fransızca ,mythe	Eski Yunanca,mýthos	Eski Yunanca,myéō	;
tümgeneral;orig	Türkiye Türkçesi,tümen	Türkiye Türkçesi,general	;
köktenci;orig	Türkiye Türkçesi,kökten	;
opera;orig	İtalyanca,opera	Latince,opera	Latince,opus	;
terzi;orig	Farsça,darzī	Farsça,darz	Orta Farsça,darzīk	;
blister;orig	İngilizce ,blister pack	İngilizce ,blister	Norsça (Vikingce),blastr, blaestri	Germence,*blas-	;
sakatat;orig	Arapça,sḳṭ	Arapça,saḳaṭ	;
teşhir;orig	Arapça,şhr	Arapça,şahara	;
hırka;orig	Arapça,χrḳ	Arapça,χaraḳa	;
olabilite;orig	Türkiye Türkçesi,ol-	İngilizce ,+ability	;
palpasyon;orig	Fransızca ,palpation	Latince,palpatio	Latince,palpare	;
lafazan;orig	Farsça,lāf-zan	;
kantat;orig	Fransızca ,cantate	İtalyanca,cantata	İtalyanca,cantare	Latince,canere, cant-	;
Mezopotamya;orig	Eski Yunanca,Mesopotamia	;
müsaleme;orig	Arapça,slm	Arapça,salima	;
arozöz;orig	Fransızca ,arroseuse	Fransızca ,arroser	Geç Latince,*arrosare	Latince,ros, ror-	;
kriptik;orig	Fransızca ,cryptique	İngilizce ,cryptic	Eski Yunanca,kryptikós	Eski Yunanca,kryptós	;
PVC;orig	İngilizce ,PVC	İngilizce ,polyvinyl chloride	;
kermes;orig	Fransızca ,kermesse	Holandaca ,kerkmisse	Holandaca ,kerk	Germence,kîrikon	Eski Yunanca,kyrikón	Eski Yunanca,kýrios	Latince,missa	Latince,mittere	;
çeşm;orig	Farsça ve Orta Farsça,çaşm	Eski Farsça ,çaşman-	Hintavrupa Anadilinde,*kʷeks-mn-	Hintavrupa Anadilinde,*kʷek-	;
sabıka;orig	Arapça,sbḳ	Arapça,sābiḳ	;
sürur;orig	Arapça,srr	Arapça,sarra	Arapça,surra(t)	;
samur;orig	Arapça ve Farsça,sammūr	Orta Farsça,samor	;
dopamin;orig	İngilizce ,dopamine	İngilizce ,dopa	;
manüel;orig	Fransızca ,manuel	Latince,manualis	Latince,manus	Hintavrupa Anadilinde,*man-<sup>2</sup>	;
firavun;orig	Arapça,frˁn	Aramice/Süryanice,paraˁōn	İbranice ,paraˁōh	Eski Mısır dilinde,prˁō	;
enfeksiyon;orig	Fransızca ,infection	Latince,infectio	Latince,inficere	Latince,facere, fact-	;
nihayet;orig	Arapça,nhw	Arapça,nahiya	Arapça,nahā	;
politbüro;"none	<div class=""eskoken"">
<p>Daha fazla bilgi için <a href=""?k=politik&amp;lnk=1"" style=""text-decoration:underline"">politik</a>, <a href=""?k=b%C3%BCro&amp;lnk=1"" style=""text-decoration:underline"">büro</a> maddelerine bakınız. </p>
</div>";
balgam;orig	Arapça,blġm	Eski Yunanca,phlégma	Eski Yunanca,phlégō	;
amigdala;orig	Yeni Latince,amygdala	Eski Yunanca,amygdálē	;
limonata;orig	İtalyanca,limonada	İtalyanca,limone	Arapça,līmūn	;
trikromi;orig	Fransızca ,trichromie	;
anturaj;orig	Fransızca ve İngilizce ,entourage	Fransızca ,entourer	Fransızca ,tour	;
muarrep;orig	Arapça,ˁrb	Arapça,ˁarraba	;
irs;orig	Arapça,wrs̠	Arapça,wariṯa	İbranice ,yrş	;
çetrefil;none	<p> Bu sözcüğün kökeni belirsizdir. </p>;
hadde;orig	Arapça,ḥdd	Arapça,ḥadda	;
enteriyör;orig	Fransızca ,interieur	İngilizce ,interior	Latince,interior	Latince,inter	;
gestapo;orig	Almanca ,Gestapo	Almanca ,geheime Staatspolizei	;
neşter;orig	Farsça,nīştar	Farsça,nīş	;
masiva;orig	Arapça,mā siwāˀ	Arapça,swy	Arapça,sawāˀ	;
dehri;orig	Arapça,dhr	;
mütevellit;orig	Arapça,wld	Arapça,walada	;
göçmen;orig	Türkiye Türkçesi,göçmel	Türkiye Türkçesi,göç-	;
müteallik;orig	Arapça,ˁlḳ	Arapça,ˁalaḳa	;
sur;orig	Arapça,swr	Aramice/Süryanice,şwr	İbranice ,şawrah	;
opsiyon;orig	Fransızca ,option	Latince,optio	Latince,optare	Latince,optus	Hintavrupa Anadilinde,*op-<sup>2</sup>	;
pruva;orig	İtalyanca,prova 	Latince,prora	Eski Yunanca,prōira	Hintavrupa Anadilinde,*prəwo-arya-	Hintavrupa Anadilinde,*per<sup>1</sup>	;
dönüm;orig	Türkiye Türkçesi,dön-	;
siderürji;orig	Fransızca ,sidérurgie	Eski Yunanca,síderos	Eski Yunanca,érgon	;
borderline;orig	İngilizce ,borderline	İngilizce ,border	İngilizce ,line	;
elçi;orig	Eski Türkçe,élçi	Eski Türkçe,él	;
hükümet;orig	Arapça,ḥkm	Arapça,ḥakama	;
ayırt;orig	Eski Türkçe,ādırt	Eski Türkçe,ādır-	;
vantrilok;orig	Fransızca ,ventriloque	Latince,ventriloquus	Latince,venter	Latince,loqui	;
çopur;orig	Türkiye Türkçesi,çapar	Türkiye Türkçesi,çap-	;
bilgi;orig	Türkiye Türkçesi,bilgü	Eski Türkçe,bil-	;
lapsus;orig	İngilizce ,lapsus	Latince,lapsus calami	Latince,lapsus	Latince,lābi	;
kohezyon;orig	Fransızca ,cohésion	İngilizce ,cohesion	Latince,*cohaesio	Latince,cohaerere	Latince,haerere, haes-	;
indigo;orig	Fransızca ve İngilizce ,indigo	İspanyolca ,indigo	Latince,indicus	Eski Yunanca,indikós	;
veli;orig	Arapça,wly	Arapça,walā	;
network;orig	İngilizce ,network	İngilizce ,net	İngilizce ,work	;
kabzımal;orig	Arapça,ḳbḍ	Arapça,māl	;
krinolin;orig	Fransızca ,crinoline	Latince,crinis	Latince,linum	;
karakuşi;none	<p>İbn Mammātī'nin <i>Kitāb</i> <i>al-fāşūş</i> <i>fi</i> <i>ahkāmi</i> <i>Karakuş</i> adlı eseri (13. yy) saçma ve aptalca yargılar derlemesi olarak klasikleşmiştir.</p>;
bizmut;orig	Fransızca ,bismuth	Almanca ,Wismut	Eski Yüksek Almanca,wīz	;
bisiklet;orig	Fransızca ,bicyclette	Fransızca ,bicycle	;
müteaddit;orig	Arapça,ˁdd	Arapça,ˁadda	;
mültipl;orig	Fransızca ve İngilizce ,multiple	Geç Latince,multiplum	Latince,multus	;
haski;orig	İngilizce ,husky	;
turfa;orig	İbranice ,ṭrēphah	İbranice ,ṭāraph	;
stalk;orig	İngilizce ,stalk	Germence,*stalkojan	Germence,*stel-	;
sihirbaz;orig	Arapça,sihr	Farsça,bāz	;
lacivert;orig	Farsça,lācivardī	Farsça,lācivard	Sanskritçe,rācāvarta	Sanskritçe,rācā	Sanskritçe,varta	;
zenne;orig	Farsça,zan	;
ziyade;orig	Arapça,zyd	Arapça,zāda	;
hasip;orig	Arapça,ḥsb	Arapça,ḥasaba	;
bıyık;orig	Eski Türkçe,bıdık	;
gülümse|mek;orig	Eski Türkçe,külümsin-	Eski Türkçe,kül-	;
virüs;orig	Yeni Latince,virus	Latince,virus	Arkaik Latince,*wiso-	Hintavrupa Anadilinde,*weis-	;
ketebe;orig	Arapça,ktb	;
imtizaç;orig	Arapça,mzc	Arapça,mazaca	;
apati;orig	Fransızca ,apathie	Eski Yunanca,apatheía	Eski Yunanca,páthos	;
kanalizasyon;orig	Fransızca ,canalisation	Fransızca ,canaliser	Fransızca ,canal	;
kontaminasyon;orig	Fransızca ve İngilizce ,contamination	Latince,contaminare	Latince,contāmen	Latince,*con-tagmen	Latince,tangere, tag-	;
rekabet;orig	Arapça,rḳb	Arapça,raḳaba	;
evren;orig	Eski Türkçe,evren	Eski Türkçe,evir- 	;
libre;orig	İtalyanca,libra	Latince,libra	;
tut|mak;orig	Eski Türkçe,tut-	Eski Türkçe,*turt-	Eski Türkçe,tur-	;
mefruşat;orig	Arapça,frş	Arapça,faraşa	Arapça,firāş 	Aramice/Süryanice,pərāsā	;
topla|mak;orig	Türkiye Türkçesi,top	;
şeri;orig	Fransızca ,chéri	Fransızca ,cherir, cheriss-	Latince,carus	Hintavrupa Anadilinde,*kā-ro-	Hintavrupa Anadilinde,*kā-	;
rümuz;orig	Arapça,rmz	Arapça,ramz	;
yük;orig	Eski Türkçe,yük	Eski Türkçe,yüd-	;
ferforje;orig	Fransızca ,fer forgé	Fransızca ,fer	Latince,ferrum	Fransızca ,forger	;
skala;orig	İtalyanca,scala	;
milkshake;orig	İngilizce ,milk shake	İngilizce ,milk	Germence,*meluk-ja	Hintavrupa Anadilinde,*melg-	İngilizce ,shake	Germence,*skakan	;
daye;orig	Farsça,dāya 	Orta Farsça,dāyag	;
şair;orig	Arapça,şˁr	Arapça,şaˁara	;
debriyaj;orig	Fransızca ,débrayage	Fransızca ,braie	;
sürfe;none	<p> Bu sözcüğün kökeni belirsizdir. </p>;
skipper;orig	İngilizce ,skipper	Norsça (Vikingce),skip	;
yaprak;orig	Eski Türkçe,yapırġak	;
hanif;orig	Arapça,ḥnf	Aramice/Süryanice,ḥnp	İbranice ,ḥanēph	;
tepe;orig	Eski Türkçe,tepe 	;
botanik;orig	Fransızca ,botanique	Eski Yunanca,botanikē	Eski Yunanca,botánē	;
kat;orig	Arapça,ḳṭˁ	Arapça,ḳaṭaˁa	;
nirvana;orig	Sanskritçe,nirvāna	Sanskritçe,nis-, nir-	Sanskritçe,vāti	;
melik;orig	Arapça,mlk	Aramice/Süryanice,mlk	İbranice ,melekh	Akatça,maliku	;
kaytar|mak;orig	Oğuzca,kaytar-	Eski Türkçe,kad- 	;
kaşağı;orig	Eski Türkçe,kaşı-	;
ekümenik;orig	Fransızca ,oecuménique	Eski Yunanca,oikomenikós	Eski Yunanca,oikoménē	Eski Yunanca,oikéō	Eski Yunanca,oíkos	;
eşanjör;orig	Fransızca ,échangeur de chaleur	Fransızca ,échanger	Geç Latince,*excambiare	Geç Latince,cambiare	;
ıkın|mak;"none	<p> <i>ık </i>veya<i> ıh</i> ""ıkınma sesi"" ses yansımalı sözcüğünden türetilmiştir. </p>";
nübüvvet;orig	Arapça,nbw	Arapça,nabī	;
istihlak;orig	Arapça,hlk	Arapça,halaka	;
sürü;orig	Eski Türkçe,sürüg	Eski Türkçe,sür-	;
rezerve;orig	Fransızca ,réserver	Latince,reservare	Latince,servare	;
gevşe|mek;orig	Türkiye Türkçesi,geŋşe-	Türkiye Türkçesi,geŋiş	;
sonuç;orig	Türkiye Türkçesi,son	Türkiye Türkçesi,uç	;
ait;orig	Arapça,ˁwd	Arapça,daˁ	;
buz;orig	Eski Türkçe,būz	Eski Türkçe,būd-	;
pütür;"none	<p> <i>pıtır pıtır</i> ""çok sayıda küçük kabarcığı ifade eden deyimler"" ses yansımalı sözcüğünden türetilmiştir. </p>";
ökse;orig	Yeni Yunanca,iksía	Eski Yunanca,iksós	;
pıs|mak;orig	Türkiye Türkçesi,pus-	Eski Türkçe,bus-	;
tiranozor;orig	İngilizce ,tyrannosaurus	Eski Yunanca,tyránnos	Eski Yunanca,saúros	;
müsabık;orig	Arapça,sbḳ	Arapça,sabaḳa	;
kadmiyum;orig	Yeni Latince,cadmium	Eski Yunanca,kadmeîa	özel adından,ḳdm	;
kisra;orig	Arapça,kisrā	Orta Farsça,χusraw	;
tillah;orig	Arapça,Allah	;
hangi;orig	Türkiye Türkçesi,kankı 	Oğuzca,kanı 	;
tıka|mak;orig	Türkiye Türkçesi,tık-	;
alokasyon;orig	Fransızca ve İngilizce ,allocation	Geç Latince,allocare	Latince,locare	;
kafiye;orig	Arapça,ḳfw	Arapça,ḳafā	;
saray;orig	Farsça,sarāy	Orta Farsça,srādik 	;
ajans;orig	Fransızca ,agence	Latince,agentia	Latince,agere, act-	;
zatülcenp;orig	Arapça,ḏātu'l-canb	Arapça,ḏāt	Arapça,canb	;
ladin;orig	Arapça,lādan	İbranice ,lādān	Akatça,ladinnu, ladunu	;
defter;orig	Arapça,dftr	Aramice/Süryanice,diphterā	Eski Yunanca,diphthéra	;
beyaz;orig	Arapça,byḍ	Arapça,abyaḍ, bayḍā	Arapça,bayḍ, bay	;
