names	wls_fam	wls_gen	e	hh	lat	lon	pop	wcode	iso	I	you	we	this	that	who	what	not	all	many	one	two	big	long	small	woman	man	person	fish	bird	dog	louse	tree	seed	leaf	root	bark	skin	flesh	blood	bone	grease	egg	horn	tail	feather	hair	head	ear	eye	nose	mouth	tooth	tongue	claw	foot	knee	hand	belly	neck	breast	heart	liver	drink	eat	bite	see	hear	know	sleep	die	kill	swim	fly	walk	come	lie	sit	stand	give	say	sun	moon	star	water	rain	stone	sand	earth	cloud	smoke	fire	ash	burn	path	mountain	red	green	yellow	white	black	night	hot	cold	full	new	good	round	dry	name
LARTEH	NC	KWA	Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,Nyo,Potou-Tano,Tano,Guang,SouthGuang	Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Potou-Tano,Tano,Guang,SouthGuang,HillSouthGuang	6.0	-0.08	74000		lar	ine	wo	Ene								iko	ny~o						sisEn	nky$utenu		okraman	EbiEn	oyi		fitEbi			ohonam		nk~rE	bobu			abre					so	Esibi	ahono		Enimi	odend~e			nahune	ba			oho		Eboky~ase	ni			ky~i	ka			wu					bE						owu		Enwebi	nky$u		bu					Egy~E			okp~E	bo						Eny~E			oboN	ohwe				ny~inE
LIKPE	NC	KWA	Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,Nyo,Potou-Tano,Lelemi,Likpe-Santrokofi	Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Na-Togo,Lelemic,Likpe-Santrokofi	7.35	0.52	23400		lip	ma	fa	bo, bu								oNw~a, noni	inw~a							lakp~a		okp~a		kuyi					kukw~a		kotoN	dikubi								koto	dinami	laNo*		layi*	odiakami			lekoNki	koni7						buna			bu5a	bono			bukp~a					buba						kofe			ntu		lebamb~i					uta			kusu*							kaCa								diye
NAWURI	NC	KWA	Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,Nyo,Potou-Tano,Tano,Guang,NorthGuang	Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Potou-Tano,Tano,Guang,NorthGuang,OtiNorthGuang,MountainOtiNorthGuang	8.17	0.1	14000		naw	ma	fu	ana								kuluN	a5o							ok3N		jono	g3m3l3bi	oyu		gifata7			owula		NkalaN	guwiya			gijakp~a7					gusu	g3ns~i	oNmaN		g35i	gonond~ulu			gumuli7				gi5apu			nu7			wu	nu			wu					ba						Cowa		g3Cikp~abi	5C~u		gubu					fuloN			okp~a							gajambw$a			bola	g3pupw~a7				g3ti7
NCHUMURU	NC	KWA	Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,Nyo,Potou-Tano,Tano,Guang,NorthGuang	Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Potou-Tano,Tano,Guang,NorthGuang,OtiNorthGuang,RiverOtiNorthGuang	7.75	0.25	69000		ncu	mu, me*	fu	ani, ane*								ko, kokoNk~o	a5o, anyo*							kak3ny~i, k3k3nT~i		yono, Tono		kiyi, keyi					wori, kayi wore		mb~uya, mb~oTa	kubw~o, k3bowi								k3sibo	k3kato, kikateTi	morobo, N3*r3bo		kubw~ano, k3bw~ano	yepu, Tapu			kuNuri	k3sari						nu, 5u*			Nu, Nu*	nu, Nu*			wu					ba						Towi, Towe			nTu		kubu, k3bu					dikp~a, lekp~a			k3kp~aburi, kp~a							ka5i, kanye								ki5ari, k3nyari
NKAMI	NC	KWA	Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,Nyo,Potou-Tano,Tano,Guang,NorthGuang	Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Potou-Tano,Tano,Guang,NorthGuang	7.17	0.25	20400		nko	mi	wu	ani								kuli7	a5o						sa	CuroTe		kp~ili	cy~ie	Ti		fi			Tuwuli		ja	bowu			biri, miri					su	5Esi	Nw~u*Lo*, wu*Lo*		5i7	dano			wuni7	tire7			5ogu7		kp~u*	nu			wu*7	ka*			wu					ba						yi		suruma	Cu		bi					ja			kp~a	bipo						5E			Elanura	fufo				5ini
NZEMA	NC	KWA	Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,Nyo,Potou-Tano,Tano,Central,Bia,Southern	Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Potou-Tano,Tano,CentralTano,Bia,SouthernBia,Jwira-Nzima	5.17	-2.5	365700		nzi	me, medame	wo, womo	yE								ko	nw~io						sonla	fElE, edw~Ene		tw~ea	egy~ike	baka kp~ole mo gy~i la		Eya			nw~onane		mogy~a	bowule			nane mEne					Enz~olE	E5elE	ebo5ile		egy~ele	EtafinlimalE			Egy~akE kp~okE	EsalE takE			5EfonlE		EbolE	no			nea, nw~u	te			wu					bEla						sEnz~Ene		EwolEra	nz~ule		EdibolE, EzibolE					senle			koamole, adenle	boka						nozo				fofolE				duma
PROTO_TOGO	NC	KWA			8.0	1.0	0			amu	awo	bule, atu								line, Nui	niwa						tani	kp~a, cune		kp~ea		ti, wyeu		pata			kuen, kua			kupa			Tea, wyelo					tue	nubi	Nuya		luma, nia	niebi				ka, nue			nie		kona	nuia, Nua			mo	nu			kui					ba						pila		Nuola	tu		tala					tanu			cule	boni, tu						Tine			leni, yiu	pua, Nue				5ina
SELE	NC	KWA	Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,Nyo,Potou-Tano,Lelemi,Likpe-Santrokofi	Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Na-Togo,Lelemic,Likpe-Santrokofi	7.4	0.5	11300		snw	Emi, ko	Efo, fo	Ewo, bw~o								oNw~i*	bE5o							kEkp~Eku		wewe		kowoso					sioto kuku*		nto	dikufi								kotoko	ninu*	oNw~u*		lE5E*	okp~lElomi*			dikunC~i	konE						5i			5E	nu			kp~i					wE						kufi			ntu		difuo					oto			osuku							kECE								leyoto
SIDEME	NC	KWA	Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,LeftBank,Avatime-Nyangbo	Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Ka-Togo,Avatime-Nyangbo	6.83	0.42	27200		avn	mE	wo	blo, blE								ole	ouva						onogb~agb~e	likp~a		kadrowi		ose		liwulakp~a					jusiE	liwalE, ahw~ala								acukp~ala	kinibie	iny~onE		enena	kinEmiE			lekl~amase ne	alala			amw~ana		efluflutena	NoE			di	nu			ce					ba						liwule			kuni		liklasisani, liklasani					kifiE, kifu				lituli										ze vuvu*				liny~i
SIWU	NC	KWA	Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,Nyo,Potou-Tano,Lelemi,Lelemi-Akpafu	Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Na-Togo,Lelemic,Lelemi-Akpafu	7.37	0.44	71900		akp	mma, lo	fo	bo								owa*	i5o							sina		kp~akp~a		kujiri					oko		ima	ikui								kuCue	inomi	oho*		i5a	o5agami			iga*ga*	ko*ro*						na*			5o	no			kp~i					ba						kuwa*			Ndu		ita					oto			ori							kasa*								iyere
TCHUMBULI	NC	KWA	Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,Nyo,Potou-Tano,Tano,Guang,NorthGuang	Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Potou-Tano,Tano,Guang,NorthGuang,OtiNorthGuang,RiverOtiNorthGuang	8.5	2.58	2500		bqa											ko	a5o*						beku			jono*		ja							boya	gbowi								sugbo	kato			bwano*				wuni	sale						nu			ke	nu			hwu					ba						Cyowi		tyekpeji	Cyu		bu					kpa			kpa															
TEGBO	NC	KWA	Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,LeftBank,Avatime-Nyangbo	Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Ka-Togo,Avatime-Nyangbo,Nyangbo-Tafi	6.82	0.25	4400		tcd	mi	wo	blo								oli	bv~a						no	kp~a*		kucogE		si		wulakp~a			Supi		josu	xw~a			Sa					bato	wo*hu*	nt~o		le	niki			kw~isi	hukp~o			mu		te	Nw~i*			mu	nu			ci					ba						wi		wu*wi*	ni		sikp~a					fu			co	tu						liSi			Tuku	vuvo				5i
TUTRUGBU	NC	KWA	Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,LeftBank,Avatime-Nyangbo	Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Ka-Togo,Avatime-Nyangbo,Nyangbo-Tafi	6.75	0.42	6400		nyb	mE	wo	bolo								oli	ba						anojrame	kp~a*		bu	Cini	si		wulakp~a			Supi		josu	hw~a*			Sa					to*	hu*	5o*to*		ne	nike			kulisi	hw~E			mu		te*	wE*, wi*			mo	Lu*			ci					ba						wi			Li*		klagb~ubuli					fu			comE	tu									Ti	vovo				5e
TUWULI	NC	KWA	Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,LeftBank,Kposo-Ahlo-Bowili	Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Ka-Togo,Kposo-Ahlo-Bowili	7.33	0.4	11400		bov	yi*	no	mi								kedi, fomoa	kEya, foe nvia*						oticiwa, oti	kafoabi		okp~ete	lolo kame, basi*	kuCe		sota, tota			ovoli, tuvoli		baboanE	loCo*			olE					soto	linebi	owi*		lodo*	sEmE			luduli	awE			lEmE		fute	moa			mo	nu			ku					ya						suwa		lisibi	mui		de, boe					fi			osi	oto						lEny~E			yi	da* fovoE*				di*, bui*
TWI_ASANTE	NC	KWA	Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,Nyo,Potou-Tano,Tano,Central,Akan	Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Potou-Tano,Tano,CentralTano,Akanic	6.61	-1.58	8186600		aka	me	wo	yan								bako*	mmienu						onipa	nsuomnam		okraman	nk~oroso	dua		ahahan					moja	nnomp~e								aso*	ani, aniwa	ahw~ene		ase*	katrama			kotodwe	nsa			nufo			nom			hw~a, hu*	te			wu					bra, ba						awia			nsuo		aboe					eja			akw~an	bepo						anadwo				foforo				edin
TWI_FANTE	NC	KWA	Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,Nyo,Potou-Tano,Tano,Central,Akan	Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Potou-Tano,Tano,CentralTano,Akanic	5.2	-1.26	8186600		aka	me	wo, owo	han, yan								bako							5imp~a	nam			dw~iw, dw~uw	dua					were												e5i	hw~e*ne*, nw~e*ne*		si*					nsa			nu*fu			nom			hu*	cei			wu					bra						owia			nsu		obo, boba					oja			okw~a*5, okw~a*	koko									kase	foro				adu, ji*n
MBRE	NC	MBRE	Niger-Congo,Unclassified_mka	Atlantic-Congo,Volta-Congo,UnclassifiedVolta-Congo	7.96	-5.3	200		mka											pi*do	yoNo						5oNo	sEmu		kesi	simE	gb~exa		fanixi			gb~aw		5amu	ko			gb~E*					nE	Tisi	mE*		5oxomu	TeNe			gb~onuxu	bo*			Tomu		tE				5a	5i*do			fu					ya						sEni			tumu		ba, kuni					na			na*	koNoli						be				tEnE				py~ela
BAGA_MBOTENI	NC	NORTHERN_ATLANTIC	Niger-Congo,Atlantic-Congo,Atlantic,Southern,Mel,Temne,Baga		12.27	-12.07	3000		bcg											mbo	salE							li, Eligay		war, avar	tyelaNga	li, ti		yumbo*			axara		yEla*, yEl3N	l3N, sa			si, Ensi					naf	Tir	ndoN		tal, sar	El3m			po, sop	ra			yala*, mban		lol	solaso*			vErafo*, fafo*	fonu			lEbEl					tyalE						na		tyaNgolE	so, aso							mur				yorEma														
BAINOUK_GUNYAAMOLO	NC	NORTHERN_ATLANTIC	Niger-Congo,Atlantic-Congo,Atlantic,Northern,EasternSenegal-Guinea,Banyun	Atlantic-Congo,North-CentralAtlantic,NorthAtlantic,EasternSenegal-Guinea,Bainounk	12.87	-16.23	30000		bcz											m3n duk	nak							kat		gi		no		l3f			s3d		le5	hon			figed					lah	g3li	5an kind		rel	lemes			gun	me5			fit		bit, pit	ro				henati			kiri											ne		ho	mund							kol										ket								
BALANTA	NC	NORTHERN_ATLANTIC	Niger-Congo,Atlantic-Congo,Atlantic,Northern,Bak,Balant-Ganja	Atlantic-Congo,North-CentralAtlantic,CentralAtlantic,Bak,Balanta	12.25	-15.33	369000		ble	5i	hu	b3								odn	sebm						hal	sala7		betn	sooN	ta		yoN			faya		saham	hol			tebm					lo7	kit	fuNa		tet	lem			Tuhum	Tef			den			segN			bek	sem			lod					ben, benta						laN		gb~o8a7	wada		lagN					Toha7			sin	5uta7						marha				hama				toka, mb~am
BALANTA_GANJA	NC	NORTHERN_ATLANTIC	Niger-Congo,Atlantic-Congo,Atlantic,Northern,Bak,Balant-Ganja	Atlantic-Congo,North-CentralAtlantic,CentralAtlantic,Bak,Balanta	12.25	-15.33	96000		bjt	5i	hu	ban								woda	sibi						hal	sEl, sElE		biti		ta																lo	kit	fum		seC					Cif			din			sigE			bifa	sim			lodu					bin						tilo, ley		lolo	wEdE		lagi					ColE			sin							mand~d				hamE				tuf
BAYOT	NC	NORTHERN_ATLANTIC	Niger-Congo,Atlantic-Congo,Atlantic,Northern,Bak,Jola,Bayot	Atlantic-Congo,North-CentralAtlantic,CentralAtlantic,Bak	12.35	-16.23	24610		bda											dun	"rig""3"							he		gena		lis					pua		5a	ku			sin					nu		cu		5i	bya			dy~u	dak 3ti			hu		la u ke	limo				limo			sero											ta		dus	ma							teno										nihwa, aihwo								res, fank
BIAFADA	NC	NORTHERN_ATLANTIC	Niger-Congo,Atlantic-Congo,Atlantic,Northern,EasternSenegal-Guinea,Tenda	Atlantic-Congo,North-CentralAtlantic,NorthAtlantic	11.42	-15.17	49400		bif	mma	yi	bon								nn3mma	ke						5a	yesa		sad3	Ng~araNg~a	bu, ma		n5ar			nr3mb~a		ganna	jeda			d3gga					n3fa	g3ra	sin, 5asin		Tede	dema			gum	b3da			b3l			naN			le	sad			nim					le						nag3		wwela, maw	mb~iya		yyaNg~a, may					uru			ar	koNk~o						jana			yabb	wom				s3tt3, gb~a5i
DIOLA	NC	NORTHERN_ATLANTIC	Niger-Congo,Atlantic-Congo,Atlantic,Northern,Bak,Jola,JolaProper,JolaCentral,Jola-Fonyi	Atlantic-Congo,North-CentralAtlantic,CentralAtlantic,Bak,Jola,Fogny-Gusilay-Banjal	13.0	-16.0	397100		dyo	iny~a	aw	uli								iakon	sigaba							awal		aian		bubar					anil		fasim	kos								kawos	yikil	e5ind~u		ko5in	furerep				ka5an						kamar			ayuk	ayam			akat					ayol						balay			mumal							sambun			buNar							kalimerei								karas, kasaf
FULA	NC	NORTHERN_ATLANTIC	Niger-Congo,Atlantic-Congo,Atlantic,Northern,Senegambian,Fula-Wolof,Fula,Western	Atlantic-Congo,North-CentralAtlantic,NorthAtlantic,Peul-Serer,Fula	15.0	-14.0	4449000		fuc	min	an	minon, minen								go7o, wot	8i8							liNNg~u		rawand~u, kutiru		lekki					laral		"y""iy""am"	"y""iyal"								nofru	yitere	hinere, kinal		ny~ind~ere, nyire	8emNg~al			hofru	juNNg~go						yar			yi7	nan			may, wat					war						naNg~e			nd~iyam		hayre					yite, hite			8atal, lawol							Zemma								innd~e
FULFULDE	NC	NORTHERN_ATLANTIC	Niger-Congo,Atlantic-Congo,Atlantic,Northern,Senegambian,Fula-Wolof,Fula,EastCentral	Atlantic-Congo,North-CentralAtlantic,NorthAtlantic,Peul-Serer,Fula,Fula-EastCentral	8.17	10.5	11585000		fuv	mi	a, an	min, minin, en, enen								go7o, got	"d""id""i"						"ned""o, himb""e"	"liNu, lid""i"		"b""osaru, b""osaji, goyru, mb~um goi, kutiru, kutiji, rawandu, dawad""i"	"korkota, korkotaji, teNu, tend""i"	"legal, led""e"		balwalol, barwalol, barwali, hako, hakoji			"b""and~u, bali, laral, lare, Nuru"		"i7am, i7amji, tu7am, y""i7am"	i7al, i7e			luwal, luwe					nofru, nopi	"holde, kold""e, yitere, gite"	hinere, kine		5indere, 5i7e	"d""emNal, d""emd""e"			hofru, kopi	"juNo, jud""e"			babire, babije		he5re, heNre, ke5e	yara			yi7a, yi7ira, yira	"hed""ita, mata"			fata, soyta, yawta					wara						naNe		hodere, kode, hore	nd~iyam, di7ele		hayre, ka7e					yite, gitele			"d""atal, d""ate"	hosere, koseje						jema			"kebind""um"	kes				"ind~e, ind""e"
