names	wls_fam	wls_gen	e	hh	lat	lon	pop	wcode	iso	I	you	we	this	that	who	what	not	all	many	one	two	big	long	small	woman	man	person	fish	bird	dog	louse	tree	seed	leaf	root	bark	skin	flesh	blood	bone	grease	egg	horn	tail	feather	hair	head	ear	eye	nose	mouth	tooth	tongue	claw	foot	knee	hand	belly	neck	breast	heart	liver	drink	eat	bite	see	hear	know	sleep	die	kill	swim	fly	walk	come	lie	sit	stand	give	say	sun	moon	star	water	rain	stone	sand	earth	cloud	smoke	fire	ash	burn	path	mountain	red	green	yellow	white	black	night	hot	cold	full	new	good	round	dry	name
AUNI	Tu	TU	Tuu,Taa	Tuu,Hua,Taa	-24.0	21.5	2500		nmn	N, NN	a	i, e								!o*	!kom						!i			!haN		!mwa, !bwa																!nae	co	!nu		!ke*i*	!a*ri			!koi!koi	"!k""a"						"k""a"			!kun	taa, taa*			!a!an					sE						!koi, !ke*		!ha	!kha		"!k""o"					!i			!ane							!gau								
BATWA	Tu	TU	Tuu,!Ui	Tuu,!Kwi	-29.0	26.0	0		xeg	N, aN, am	a, aN	i								!ka	!ku						kwi			!kwi										!ka			!ke*					Zwe	ca*i*, caxu	!nu		!ke*i*	!e*			!numa	"!k""a"						"k""a*, k""e*"			!ne, !na	tui, taa*			!a					se, sa, tean						!ko*i*, !un		kale	!kha, Sa		Ze, Zu					!i										!ga								
KAM_KA_KE	Tu	TU	Tuu,!Ui	Tuu,!Kwi	-31.0	21.0	0		xam	n, N, m, ka	a, aa, aken	i, ii, it3n								!kwai	!ku						!kwi, !ku			!kwiN	!moEN	!ho					tu*, !go		!xaukn	!kwa			!ke*i*					!nuntu	"c""axau"	!nuru		!ke*i*	!eri, !eni			!noaN	"!k""a"			!kwei!kwei		!noaN	"k""wa*, k""we*"			"!ni, !na, !k""oen"	tu, tui, tum			!a, !kukn					"s""i, Si, s""e"						!ko*iN		!kwat3n	!khwa		!kau, !kou					!i			!xara, !kaue	!kau, !kou						!ga			!kauNa	!kaN, !kwe				!ke*
MASARWA_KAKIA	Tu	TU	Tuu,Taa	Tuu,Hua,Taa	-24.0	21.5	2500		nmn	N, na	a	i								!kw7e	!num						tu, da, !haa			!xai		!moe		!gana			"t""im, !ke"		!xa*u*, !naia	!ka			!konSa					!nwa	"!k""we*"	!nu Ca		!xu*	!ani, !nani			!ko*!naN	"!k""a"			!xansa			"k""a*"			!ne, !na, !nin, !ko*i*	Cau			!a					Si, Sa						!on		!kwanate	!kha		!nile					!a			dau	!num						!noe			!gum	!xwe				"!k""a*u*"
NG_KE	Tu	TU	Tuu,!Ui	Tuu,!Kwi	-26.0	21.0	5		ngh	N, n, ni, m, a	a, ake	i, e								!kwe	!ku						!kwa, !ge			!kuiN	!moinya	!bo, !ho		xero			tu*, !kou		!xau	!kaba			!ke*i*					!nwentu	"c""axu"	!nu tu		!ke*i*	!e*			!no*	"!k""a"			!ke*		!naiN	"k""a*, k""e*i*"			!ni, !na, !ken	tu			!a					si, se, sa						!ko*i		!kweisa	!kha		!kau, !kn!nei					!i			tirau	!kau						!ga			!xaN	!xe, !e*				!ke*
NU	Tu	TU	Tuu,!Ui	Tuu,!Kwi	-26.0	21.0	5		ngh											!7~oe	!7~u						!o			!un	N!~usi			"!x""o*si"			To*		!x~au	!aba			q!~oesi					N!~ui*si	"c""am"	N!~uTu		!h~ai*si	!7~an			N!~usi	"!x""a"			!a		N!~3n	"kx""ai*"			N!~3i*	Tu			Toa7u					si						!7~ui*		"!x""oXesi"	q!h$a		!uru					!7~i			!an	!ao						!a			!7~un	!x~aiTa				ka!3e
NU_EN	Tu	TU	Tuu,Taa	Tuu,Hua,Taa	-24.0	21.5	2500		nmn	N, NN, m, na	a, aa	i								!oe	!num						tu			!khi		!pwoi, !pwe		!nabu			"t""um"		!naa	!ka*			!ka*					!nuSa	!u*	!nuSa		!onte				!gu*!ni	"!k""a"					!nom	"k""a*"			!ne, !na	tai, taN			!a					si						!on, !e*		!anate	!kha		!um, !oye					!a*			dau, !kare !ka*	!nau, !gum						!noe			!kom					!ka*
XOON	Tu	TU	Tuu,Taa	Tuu,Hua,Taa	-24.0	21.5	2500		nmn	n	ah	ih, isi								"!""ua*"	n!~um						ta			q!h$ai	n!~u*	"n!""aye"		!ana			tum		n!~a	!a*			!ae*					n!~uha*	"!""ui*"	n!~una		q!h$a*	"n!""an"			!x~u* n!~an	"!""xa"			!u		n!~am	kx~aha*			n!~a*	ta*			"!""a"					si						"!""an"		!ona	q!h$a		n!~ule					"!""a*"			dao	!um						n!~ue			!um	q!~u				!au*
XOON_MASARWA	Tu	TU	Tuu,Taa	Tuu,Hua,Taa	-19.35	22.83	2500		nmn	n		si								"!""w~e"	n!~um						da			!x~ai		m!~oe, n!~oe		!ana			"t""im"		n!~a	!a			!onSa					n!w$a	"!""w~e*"	n!~utSa, n!~uCa		!x~u*	n!~an			!o* n!~aN	"!""a"			n!~am			"k""a*"			n!~a	taN			!a					Si						!on		!w~anate	!h~a		n!~ile					!a*			dau	n!~um						n!~oe			!um	!xw$e				"!""a*u*"
XOON_NUEN	Tu	TU	Tuu,Taa	Tuu,Hua,Taa	-21.68	22.17	2500		nmn	N		si								!oe	n!~um						da			!h~i		"!""a"		n!~abu			"t""um"		n!~a	!a*			!a*					n!~uSa	!u*	n!~uSa		!on	!ani			!u* n!~i	"!""a"			!u		n!~om	"k""a*"			n!~e	ta*N			!a					si						!on		!anate	!h~a		!oiye					!a*			dau	!um						n!~oe			!um					!a*
GWI	KK	KHOE-KWADI	Khoe-Kwadi,Khoe,KalahariKhoe,Southwest	Khoe-Kwadi,Khoe,Non-Khoekhoe,West-Kxoe,Naro-Ana,Ana	-22.67	21.75	1470		gwj	kere	ce, ca	ite								!w~i	!am						kue, kw~e	!ao		aba, arugu	kone	i		dana			ko		!ao	!owa			n!~a					!ei	!ai	!ui		!oji	gy~am			!ori	ceu			Ng~uSa, pi		!aen	kX~a			mo, moaha	kuom, kw~om			!o					a						!am		!ono	ca		n!~oa					!e			gy~o	!abi						hx~aeSika			!oe, !oeha	kaba				!uo5
GXANA	KK	KHOE-KWADI	Khoe-Kwadi,Khoe,KalahariKhoe,Southwest	Khoe-Kwadi,Khoe,Non-Khoekhoe,West-Kxoe,Naro-Ana,Ana	-22.17	23.33	1030		gnk	ke	ce, ca	ite								!w~i	!am						kue, kw~e	!ao		aba	kone	i		dana			ko		!ao	!owa			n!~a					!ei	!ai	!ui		!oji	dam			!ori	ceu			Ng~uSa, pi		!aen	kX~a			mo, moaha	kuom, kw~om			!o					a						!am		!ono	ca		n!~oa					!e			dao	!abi						hx~aeSika, n!~uaka			!oe, !oeha	kaba				!uo5
KHOEKHOEGOWAB	KK	KHOE-KWADI	Khoe-Kwadi,Khoe,Khoekhoe,Nama	Khoe-Kwadi,Khoe,Khoekhoe,NorthKhoekhoe	-25.5	18.0	202200		naq	ta, tita, tir	c, sac, s, sas	da, sida, sada								!gui	!gam, !gama						kh~oei	!aub, !ganub, sui		arib, aris, omarib, omaris	urib, uris	hai		hai!gaeb, haiN!are			kh~ob		laob	!kxob, !kxos			N!a					!gaes	mus	!guis		!gub	nammi, nams, lammi, tammi			!goa	!ommi			sams		aib, ais	a			mu	N!au			!o					ha, !kxi						sore		!gamiros, !hom!gamiros, N!amiros	!gammi, tammi, cab		!homs, !hommi, !uib, !uis, !kxoms, !kxom!uis					!aes, !hubib			daob	!hommis, N!ob, !uib, !uis						cuxub			!oasa	!asa, kawa				!ons, !ens, !uida, !enda
KHWE	KK	KHOE-KWADI	Khoe-Kwadi,Khoe,KalahariKhoe,Northwest	Khoe-Kwadi,Khoe,Non-Khoekhoe,West-Kxoe,Kxoe-Ani	-17.5	22.5	4000		xuu	ti	tc~a, ha*	!e								!ui	!am						kh~oe			apa		yi		ga*			kh~o		7ao	7o*a*			n!a						!xei	!ui			dam			kuru	ceu						"kx""~a"			mu*	kom			7o					ya						!am			caa		n!goa					7e			dao							th~u								!x7on
KORANA	KK	KHOE-KWADI	Khoe-Kwadi,Khoe,Khoekhoe,Nama	Khoe-Kwadi,Khoe,Khoekhoe,SouthKhoekhoe	-29.5	20.5	0		kqz											!ui	!am						khoe	!7~au		ari	kx7$uri	hai					kx~o		!7ao	!x~o			!na*a*					!na*u*	mu*u*	!ui		!u*u*	tam			!oa				sam		kx7$a*i	kx7$a			mu*u*				!7~o					ha						sore		!amiro	!am		!7~ui					!7~ae			tao	!are														!x7$on
KWADI	KK	KHOE-KWADI	Khoe-Kwadi,Kwadi	Khoe-Kwadi	-16.27	12.3	0		kwz	ta, Ca	sa	ala, hina								!wi	!a							su7i		ayi		Chidi					kx~odi		!o7e									godi, gode	Sidi	Cwide, Cidi		Co7i	tamende, tamedi			gole	getni7i			pi7i		Ci7i7	kalaka				kulaku			kadeo					hadahalo						ududi, uduwa		!we, !xowa	kx~o7e		vodowa, v3edede					!ede, !ewa										th~wi, th~uwa								
KXOE	KK	KHOE-KWADI	Khoe-Kwadi,Khoe,KalahariKhoe,Northwest	Khoe-Kwadi,Khoe,Non-Khoekhoe,West-Kxoe,Kxoe-Ani	-17.5	22.5	4000		xuu											!ui	!Em						kh~oe	!7~Eu		eriku, EpE	kx7$uni	hEi		!g~E			kx~o		!7~Eo	!7~o*E*								!eE	!x~ei	!ui		!u*u*	tEm			kuru				pi		!x7$e*i	kx7$E			mu*u*				!7~o					hE						!Em		!x~Eni	SE		!ng~oE					!7~Ee			tEo	!uu!Em						th~u				kx7$oE				!x7$on
MASARWA_TATI	KK	KHOE-KWADI	Khoe-Kwadi,Khoe,KalahariKhoe,Northeast	Khoe-Kwadi,Khoe,Non-Khoekhoe,Ost-Kxoe,TshwaKhoe	-22.5	26.0	5540		hio	Ci, Cira, Ca	Ca	ka, ce								kwie, kwiye	!kamnye						Co, Cwa			aba	!gam	jii, hii		!gana			Co, joru		"t""aka"	n!gwa			N!gaare					Ce	Cai	Cui		!goo, !kxo	dham			kukuru	cau			sam		Ce	"!kxa, t""a"			moo	CeCe, Com			gurihe					ya, habee						!kam, !xam		!kxaine	caa		!gwa					!te			dhau	!goa						haie			!gwea, !kweha	!kao				!kun
NAMA	KK	KHOE-KWADI	Khoe-Kwadi,Khoe,Khoekhoe,Nama	Khoe-Kwadi,Khoe,Khoekhoe,NorthKhoekhoe	-25.5	18.0	202200		naq	ta, tita	du, sadu	da, sida								g!~ui	g!am						kh~oe	!au		ari	uri	hai		g!~ae			kh~o		!ao	!X~o			!na*					g!~ae	mu	g!~ui		g!~u*	nam			g!~oa	!om			sam						mu*	!n~au			toa					ha, !X~i						sore		g!~amiro	g!am		!ui					!ae			dao	!h~om, !ui						cuXu			!oasa	!asa				!on
NAMA_2	KK	KHOE-KWADI	Khoe-Kwadi,Khoe,Khoekhoe,Nama	Khoe-Kwadi,Khoe,Khoekhoe,NorthKhoekhoe	-25.5	18.0	202200		naq	ta, tita	sac, c, sas, s	sagye, sase, sada								!gui	!gam						khoii			arib	coa	heib		!gais			khob		!aub	!kob			!nab					!gais	mu*s	!guis		!gu*b	nami			!goab	!omi			sams		a*i*b, no*ab	a			mu*, ge, go, !hou	saro, !nou*			!o, !kei !heire, !kawi					si, ha, !nuwu						sores, !kanis		!gamiros, !kani	!gami		!nos, !uis					!ais			daob	!homi, !uib						cuxub			!a*, !oa, !khouni	!asa				!ons
NARO	KK	KHOE-KWADI	Khoe-Kwadi,Khoe,KalahariKhoe,Southwest	Khoe-Kwadi,Khoe,Non-Khoekhoe,West-Kxoe,Naro-Ana	-22.5	20.5	10000		nhr											!ui	!am						kh~oe, kh~ue	!7au		eriku, aoku	!nani	hai		toara			kx~o		!7~ao	!o*a*			!na					!ae	!x~ei	!ui		!x7$o*	tam			!oru	cau			bi		!x7$e*i	kx7$a			mu	kum			!7~o					ha						!am		!onu	Sa		!no*a*					!7~ae			tao	!api						!nu				kawa				!x7on
NARON	KK	KHOE-KWADI	Khoe-Kwadi,Khoe,KalahariKhoe,Southwest	Khoe-Kwadi,Khoe,Non-Khoekhoe,West-Kxoe,Naro-Ana	-22.33	20.5	10000		nhr	ti, tira, tire	saCa, C, saSa, S	Si!kei, Sita, Sisi								!kwi	!kom, Com						kwe			auko	!nani	hiba		!ganaba, !xe			ko		!ausa	!o*a*			!naC3ra					!kesa	!xe	!kwisa		"!k""o*o, jum"	dama			!kuru	Cou			bisa		"!k""e*i*sa"	"k""a"			m, mu	kum			ka, !o					Si, ha						!komSa		!gonu	CaSa		!no*aba					!eSa			dauba, dumba	!nauSa, !gabiSa						!gwaba, !nuba			!ka, !kweka	kaba				!kwi*sa
PROTO_CENTRAL_KHOISAN	KK	KHOE-KWADI					0			tire, tita	ca, sa	tia								!ui	am						khoe			aba		zei					kho		ao				!na					!ae	!xai	!ui		!o	dharn			!uru	!oa			sam		kxai	kxa			mu	ce, !nau			!o					ha						!am		!kx~aini, !kx~aonu	ca, !ami		!noa, !ui					ae			dhau							thuxu								!kx~on
PROTO_EAST_KHOE	KK	KHOE-KWADI					0													!ui	!am									aba	"k""uni"	yi					kho		"!""ao"	"!""o*a*"			!na					ce	cxai	cui			dam			!oe	chau			sam		"k""a*i*"	k7a				kum, kom			"!""o"					ha						!am		!xani	cha		!noa, !oa					"!""e"			dao															"!""on"
PROTO_KHOE	KK	KHOE-KWADI					0													!ui											"kx""~uni"			!ana			kho		"!""ao"				!a					!ai	!xai	!ui		!u*					!oma !um					"kx""~a*i*"	"kx""~a"							"!""o"					ha											"!""ui"					"!""ai"			dao															!x7on
PROTO_WEST_KHOE	KK	KHOE-KWADI					0													!ui	!am							"!""au"		aba	"kx""~uni"	yi		!ana			kho		"!""ao"	"!""o*a*"			!na					!e	!xai	!ui		!u*	dam			!udu	chau					"kx""~a*i*"	"kx""~a"				kum, kom			"!""o"					ha						!am			cha		!noa, !oa					"!""e"			dao															"x""on"
HOAN	Kxa	KXA	Kx'a,!Kung	Kxa	-23.92	24.95	200		ho0	ma		n!a								n!~u*	!oa						"ari, !""amkoe"			cema, ceama	"c""i"	"!""o*"		Zoba			"C""u"		q!~i	ca			!h~o					q!h$oe	!oa	"q!""o*"		ciu	cela			!h~eme	Siu			!ama		kui	Cu			ci	ca			Si*					Ca						Ch~a		!o*	Zo		!h~oa					!oa			Zeo	!h~u						Ch~ao				za				!o
JUHOAN	Kxa	KXA	Kx'a,!Kung	Kxa,Ju-Kung,SouthernJu	-19.0	21.0	30000		ktz	mi		m, m!a								!N~e7e	ca*, ca*						Zu	!7~3u		g!kh$wi*, g!kh$wa	!N~a, kx~uri	!ai*h		!N~u7ubu			!N~o		!h~aN, Za7a	!h~u*			!kh$u					!h~wi, !wa*!a	!g~a7a, kx~wasi	tzu*, !wi*h		!N~ah, tz3u	dth$ari			!gx$wa, !gx$wa!N~ai	!g~3u			ku			Ch~i			ho, se	ca7a			!ai					ci, !g~a						!am, kh~a!h~a*		!u*h	!g~u, domswa*		!N~om					da7a, !x~we			!N~ama, !kh$a	!N~om, !x~uni						!g~u, !g~uh			!g~a7i*, !7abu	!oXa, !u				!u
KAUEN	Kxa	KXA	Kx'a,!Kung	Kxa,Ju-Kung,SouthernJu	-21.33	21.75	30000		ktz	m, mihi, mi	aa, ahi	e!ka, ehe								!nee	ca						Zu			!ko		!ga*i		!nobu, dora			!no		!i	!ku			!ku					!kwi	!ga	"C""u*"		"c""ou"	tari			!kwa!ni	!gou			"c""a"		Ci*	Ci			sE, !ha*	"c""a, C""a"			!ke, !kei					ci, , Ci, ca						!kom		!go*e	!gu		!num					da			dausa, !ka	!num, !no						!gu			!kau, !ge*	gau, zE				!ku
KUNG	Kxa	KXA	Kx'a,!Kung	Kxa,Ju-Kung	-19.67	18.0	20200		knw	N, na, m, mi	ma	i, hm								!nee	sa, ca						Zu, ju			!kwe		!kaN, !ka*u*		!nobu, !gwa			!no		!iN, !noru	!ku			!khu					!kyi, !yhi	!ga	"c""u*, su*"		cau	tEri, tEni			!koE	!gau			cwa		CiN	"CiN, k""a"			siN	"s""a"			!o, !ke					Se, Sa, !ge						!kom		!ko*	!gu		!num					da			ku, !kha	!num						!gu				zEma				!ku
KUNG_EKOKA	Kxa	KXA	Kx'a,!Kung	Kxa,Ju-Kung	-19.67	18.0	20200		knw	mi	E	e								!n~e7e	CE						ju!xoE	!k~Enu		!g~hoe	j7N	!k~EhN					!n~o		n!olu				!hu					!7~hui	!g~E7E							!x~oE	!g~Eo						SN			hN	CE, CE7E			!Ee					Ci								!u*	!g~u		!n~um					da7a			kuhu											jehe				!u
O_KUNG	Kxa	KXA	Kx'a,!Kung		-17.0	18.75	59630		vaj	mi, mihi, ma	a, ahi	e, ehN, i								!nee	"c""a, Ca"						ju			!kwe		!ga*u*, ga*u*		!goba, !oa, goa			!no, da		yalu, yula	!7u			!khu					!kwi	!ga	cn, Cn		cau	tali			!gom, gom	!gau			coa, ku		Ci*	Ci			siN, hN, !ne	sa, Sa			!ke, !7o					si, ci, Ci						!kom		!ki*	!gu		!num					da			!ka							!gu, gu				ce, ze				!ku
PROTO_NORTHERN_KHOISAN	Kxa	KXA					0			mi	a	m								!e7e	ca, ca*						Zu			!h~oi*, !h~oe	c7iN	!h~aNi		!oa			!o		!7aN	!7u			!h~u					!7h~ui	!a7a	CkxuN		c7au	nthari			!xoa	!au			!o7a		CiN	Ch~iN			seN, heN	sa7a			!e					ci						!am		!u*	!u		!om, !um					da7a			!h~a	7!om						!u			!a7N	Ze				!u
SANDAWE	Sad	SANDAWE	Languageisolate_sad	Sandawe	-5.0	35.0	60000		sad	ci	hapu	su*								"c""EX"	kisoX						maxaye	somba		"k""w~EN"	"ma!""a"	th~e		!a					"!""ek""a"	!i								keke	!w~e	n!~atiN		"!""akaN, !hw$arkakaN"	!h~eN			kEN	!u*N			"!""ina"		th~aLno	"c""e"							"tl~as, jias""o"											"!""akasu"			"c""a"							"!7~e, !""iN"			!o	gawa						tw~e				!ae				!w~a
HADZA	Had	HADZA	Languageisolate_hts	Hadza	-3.75	35.17	950		hts	ono, one	th~e	onebe7e								iCh~ame	pie						unu	"N!""ama, N!""ala"		!h~a7ano, tiNki	"N!""amac""i"	"c""iti"		"ac""ape"			au		ath~ama	"miT""a"			lo7o					"aC""apiCh~i"	akwh$a	inth~awe		aha	N!ata			guliNguli, guluNguli	ukwh$a			"iliba, kx""ac""a"		"N!""e"	fa			!h~i, !i	N!a7e			"ta*!""i, misi"					ca						iSo		nch~a	ati		"a*!""a"					"c""oko"			yeke	"N!""uT""e"						"c""ifi"			"kx""a7e"	cana				akh~ana
AWAK	NC	ADAMAWA	Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Adamawa,Waja-Jen,Waja,Awak	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Gur,CentralGur,Waja-Jen,Tula-Waja,Tulaic,Awak-Kamo	9.87	11.33	6000		awo											din	yoro						ni, nobo	namo*E*		yedi		ti, tiputo		laNto														bwara	nuNi	sur		nuNun	ben				kaN						de			ko									gbE						di		swEri	mo*E*		tEra					suli				baN						kumi								
BALI_NIGERIA	NC	ADAMAWA	Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Adamawa,Leko-Nimbari,Mumuye-Yandang,Yandang	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Adamawa-Ubangi,Adamawa,SambaDuru-MumuyeYendang,Mumuye-Yandang,Yandang,Bali-Kpasam	8.82	11.3	2000		bcn	am		aro, arok								bini	iyEt						wE*	di*		ziya		ti		wale			kopmene		midEnE	ku*bi			gb~iya					tE	ni	sE*		sibi	Nw~ElE			gu*tam				Nw~e		nene	5i			kiyi	laye			bi					anaN						bisuwi		zisE*	mi		tale					liya			kp~iya	gon						zE*na				gb~ufw~a				lim
BESME	NC	ADAMAWA	Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Adamawa,Mbum-Day,Kim	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Adamawa-Ubangi,Adamawa,Mbum-Day,Kim-Besme-Goundo	9.58	16.08	1230		bes	mi	mu									mbr$aN	Ciri						sunu	Ci		gw~i		ura		do			hu3		Com	kal			tom					horo	nd~ua	vu*a*l		hi*yim	delEm			gubal	ju			pw~a			nd~o			gw~al	to*			siy3					mb~o gini						go			mam		ndil					wal			vump~ul							dal			wi	fi*				di*
BON_GULA	NC	ADAMAWA	Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Adamawa,Mbum-Day,Bua	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Adamawa-Ubangi,Adamawa,Mbum-Day,AdamawaBua	10.42	19.5	1200		glc											hondoi	hori							hobo		how		tow		Noro			ol		hErE	oa			ilu					to	il	ho		toi	lil			bugil	tugo			hul			ny~iNguli			oi	niyErkE			u					niyi						rui		huruki	rim		tori					yoko			horo							honon				bisinu				li
BUA	NC	ADAMAWA	Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Adamawa,Mbum-Day,Bua	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Adamawa-Ubangi,Adamawa,Mbum-Day,AdamawaBua,Buaic	10.0	18.0	7710		bub	bi	bomd~o									gulu	ili							Seib		sa	Ng~irsa	leN		t3lle woria			umwar		huma	bel			nafu					mt~u	mj~ili	mf~o			lile				mt~oN			md~er		ms~alwa	nol			yelake	fok			ulu					abawe						lil3		meu	mena		ta					la				ta						safoli				bere				mulili
BURAK	NC	ADAMAWA	Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Adamawa,Waja-Jen,Jen	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Gur,CentralGur,Waja-Jen,Bikwin-Jen,Bikwin,Burak-Loo	9.5	11.08	4000		bys	mi	mo	gbo								kwin	rap									dwa		dit		yaN			lakat		wi									twi	nuN	luri		le	dak			sak	na			mi			niyo*			naN	voN								yi						bE		basal	mE		tal									kwi						vErE								
DADIYA	NC	ADAMAWA	Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Adamawa,Waja-Jen,Waja,Dadiya	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Gur,CentralGur,Waja-Jen,Tula-Waja,Tulaic,NuclearTulaic	9.58	11.33	70000		dbd	mo	mo	b3n								win	yo							jiNi		s3gan		tiya		laN3n														lol	nu	jowol		nuNun	bEn										no																		koko		ninyami	mo*E*		tEl					k3la				y3m						kum								
DAMA	NC	ADAMAWA	Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Adamawa,Mbum-Day,Mbum,Northern,Dama-Galke	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Adamawa-Ubangi,Adamawa,Mbum-Day,Mbumic,NorthernMbum,Dama-Galke	8.67	14.33	50		dmm											mb~o	sida						wa*r, apori	Ce*		gai		kp~3ki		gai			hoki		Cemi	hung~i			Ce*ri					suki	nodi	pa*i		sang~i	rem			goni	nd~odi			wa*ni		nj~iri	nj~o			ko				hu					gi						Ci, Ciki		ru7i			asali									k3i						sung~i			mb~a7					
DAY	NC	ADAMAWA	Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Adamawa,Mbum-Day,Day	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Adamawa-Ubangi,Adamawa,Mbum-Day	8.75	17.83	49900		dai	hi5	ha, ma	5a, a5a								NoN	di						bere	Zi		ye	Nisa	em		sog			kog, nd~ara		dem	bo*			diN					sog	non	mb~ur		Ni	leli, lele			Noso	soN			gogro		Zor	yu			gori	dem			siri					yeri						yor		mb~ol mb~i5a	mi5		mb~ala, koso					or			n3*							nu, bu koZoN			mb~agZa	se				Zo
DOOHWAAYAAYO	NC	ADAMAWA	Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Adamawa,Leko-Nimbari,Duru,Voko-Dowayo,Vere-Dowayo,Dowayo	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Adamawa-Ubangi,Adamawa,SambaDuru-MumuyeYendang,SambaDuru,Voko-Dowayo,Vere-Dowayo	8.67	13.08	18000		dow	miya, behya	moya	weya								gbun, gbunu	ehr, ehre							dut, dutu		ka, kayo		te*m te*yo					zol, zole		ga*m, ga*me	leNk, leNko								to*n, to*ne	yo*l, lol	go*s, go*se		nuN, nuNgo	mel, mele			do8 uk, do8 ukyo	nan, nane						yo*, yoky~o			gben, gbeniky~o	lag, lakyo			wor, worky~o					za, zaky~o						o*t, o*tyo			mem, meme		beht, behto					la, layo			gbonowa, gbonowayo							ye*ms, ye*mse								nuN, nuNgo
FALI	NC	ADAMAWA	Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Adamawa,Fali	Atlantic-Congo,Volta-Congo,UnclassifiedVolta-Congo,AdamawaFali	9.33	13.5	20000		fal	miy	muy	oro								kpolo	Tuk							Ti*Ti		dun		futifay					ku*		nZi*m	kopti								tuy	nisi	u*n		temNi	rE*N			gbeski	kan						nZora			kpara	rakta			wuta					dara						unnZi			so		go					ebi			ori							tuma								ni*ri
GALKE	NC	ADAMAWA	Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Adamawa,Mbum-Day,Mbum,Northern,Dama-Galke	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Adamawa-Ubangi,Adamawa,Mbum-Day,Mbumic,NorthernMbum,Dama-Galke	8.08	14.33	5		gke											mb~o	sira						wora, nj~ope	mo*i		gai		kp~oi		gai			hoko		Cam	huri			CeNre					suki	nun	py~a*ke		saN	rin			k3r	nd~ol			wa*ne		jo*, le7eme	nj~o			ko				hu					gi								ru	bi		asare								maful	k3i, koi						su*i			mb~a					rin
GENGLE	NC	ADAMAWA	Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Adamawa,Leko-Nimbari,Mumuye-Yandang,Mumuye		9.33	12.5	4000		geg											bibi	kiri						wEm			ja		aya		wari					adi									tua	no	hw~aN		rumaN	wim			ruN	dinaNE			5iaN																					lu			me		tabi								dakpw$a	gora						daje								
GOUNDO	NC	ADAMAWA	Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Adamawa,Mbum-Day,Kim	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Adamawa-Ubangi,Adamawa,Mbum-Day,Kim-Besme-Goundo	9.5	16.25	30		goy	mi	mu									mund~o	Ciro						n3b3 gas3	Ciri		guri		ura		ura wos3			dama		Cum	kal			tind~3r					huba	nd~uru	vw~al		5uar	dEl			gul	yugu			p3 mi			ndr$o			gw~3l	togo nu			suro					naN						g3b3		f3rw3	mam		nd~El					wal			v3na							Cu dab3l			wu	firi				yEmi
GULA_IRO	NC	ADAMAWA	Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Adamawa,Mbum-Day,Bua	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Adamawa-Ubangi,Adamawa,Mbum-Day,AdamawaBua	10.25	19.42	3500		glj	5io*	mo	en								toN	rok							haba, habe				teu		funo, fune			ul, un			uka, uke								tu	il, i	fo*n		nel, ne					te*, te*mon						5e			ol	lonte			ui					bi						wi, windi		ho*l	im, ide							la, lo			ul, ude															il, i
